Insertion_Index Worst_Case_Time(us) Best_Case_Time(us)
31669 47.664 0.071
31670 47.749 0.077
31671 47.651 0.07
31672 47.684 0.063
31673 47.597 0.062
31674 47.508 0.074
31675 47.608 0.074
31676 47.733 0.06
31677 47.725 0.064
31678 47.71 0.063
31679 47.738 0.064
31680 47.79 0.072
31681 47.674 0.075
31682 47.646 0.065
31683 47.733 0.074
31684 47.555 0.071
31685 47.61 0.066
31686 47.538 0.061
31687 47.808 0.066
31688 47.609 0.059
31689 47.648 0.068
31690 47.57 0.062
31691 47.572 0.062
31692 47.593 0.065
31693 47.571 0.063
31694 47.575 0.062
31695 47.63 0.059
31696 47.692 0.065
31697 47.71 0.067
31698 47.634 0.073
31699 47.78 0.061
31700 47.588 0.063
31701 47.74 0.06
31702 47.769 0.073
31703 47.608 0.061
31704 47.619 0.074
31705 47.551 0.071
31706 47.589 0.059
31707 47.614 0.062
31708 47.562 0.061
31709 47.663 0.064
31710 47.675 0.063
31711 47.595 0.062
31712 47.63 0.065
31713 47.658 0.064
31714 47.728 0.066
31715 63.033 0.071
31716 47.63 0.075
31717 47.665 0.064
31718 47.592 0.071
31719 47.615 0.073
31720 47.656 0.073
31721 47.637 0.06
31722 47.672 0.066
31723 47.683 0.073
31724 47.63 0.074
31725 47.747 0.064
31726 47.671 0.074
31727 47.672 0.061
31728 47.64 0.065
31729 47.689 0.064
31730 47.656 0.061
31731 47.668 0.064
31732 47.575 0.059
31733 47.645 0.072
31734 47.609 0.073
31735 47.637 0.063
31736 47.644 0.057
31737 47.624 0.065
31738 47.709 0.063
31739 47.946 0.062
31740 47.58 0.061
31741 59.901 1.99
31742 47.707 0.06
31743 47.684 0.066
31744 47.602 0.074
31745 47.738 0.064
31746 47.691 0.072
31747 234.507 0.166
31748 50.503 0.182
31749 48.224 0.067
31750 47.836 0.072
31751 47.79 0.067
31752 47.903 0.061
31753 47.734 0.073
31754 47.745 0.061
31755 47.767 0.075
31756 47.99 0.062
31757 47.763 0.064
31758 47.789 0.067
31759 47.96 0.061
31760 47.775 0.059
31761 47.681 0.06
31762 47.67 0.063
31763 47.77 0.065
31764 47.829 0.062
31765 47.666 0.064
31766 47.685 0.073
31767 47.717 0.063
31768 47.786 0.059
31769 47.673 0.065
31770 59.13 0.064
31771 47.783 0.072
31772 47.704 0.073
31773 47.899 0.06
31774 47.712 0.06
31775 47.72 0.06
31776 47.702 0.075
31777 47.687 0.068
31778 47.783 0.06
31779 47.74 0.076
31780 47.844 0.063
31781 47.93 0.065
31782 47.731 0.063
31783 47.723 0.076
31784 47.959 0.063
31785 47.865 0.057
31786 47.738 0.067
31787 47.73 0.073
31788 47.716 0.074
31789 47.756 0.063
31790 47.796 0.066
31791 47.679 0.073
31792 47.722 0.065
31793 47.792 0.065
31794 47.786 0.061
31795 47.841 0.064
31796 47.766 0.061
31797 47.805 0.073
31798 47.855 0.063
31799 47.985 0.064
31800 47.79 0.063
31801 47.774 0.075
31802 47.822 0.062
31803 47.839 0.06
31804 47.832 0.065
31805 47.803 0.065
31806 47.73 0.063
31807 47.805 0.06
31808 47.807 0.063
31809 47.835 0.072
31810 47.913 0.073
31811 47.897 0.076
31812 47.843 0.073
31813 47.901 0.064
31814 47.861 0.064
31815 47.856 0.063
31816 47.756 0.061
31817 47.879 0.068
31818 47.78 0.063
31819 47.906 0.073
31820 47.872 0.059
31821 47.95 0.061
31822 47.93 0.073
31823 47.969 0.067
31824 47.917 0.077
31825 47.921 0.063
31826 47.927 0.062
31827 47.926 0.061
31828 48.799 0.194
31829 47.941 0.061
31830 47.902 0.067
31831 47.915 0.065
31832 48.165 0.063
31833 47.944 0.064
31834 47.884 0.077
31835 47.94 0.062
31836 47.827 0.067
31837 47.917 0.063
31838 53.266 0.071
31839 47.917 0.066
31840 47.834 0.067
31841 47.961 0.063
31842 76.992 0.063
31843 49.45 0.207
31844 48.292 0.073
31845 47.926 0.062
31846 48.145 0.066
31847 47.971 0.062
31848 47.842 0.062
31849 47.933 0.063
31850 47.878 0.074
31851 47.901 0.067
31852 48.276 0.067
31853 53.203 0.063
31854 47.902 0.072
31855 47.912 0.063
31856 47.903 0.065
31857 47.918 0.068
31858 47.894 0.062
31859 47.895 0.073
31860 47.872 0.064
31861 47.871 0.065
31862 47.977 0.064
31863 48.031 0.063
31864 47.946 0.073
31865 47.882 0.061
31866 47.829 0.062
31867 47.96 0.061
31868 47.884 0.062
31869 47.914 0.062
31870 47.827 0.062
31871 47.802 0.065
31872 47.877 0.061
31873 47.9 0.067
31874 47.958 0.065
31875 47.859 0.067
31876 47.818 0.063
31877 47.941 0.065
31878 47.936 0.06
31879 47.87 0.064
31880 47.828 0.065
31881 47.896 0.067
31882 47.931 0.061
31883 47.885 0.064
31884 47.894 0.068
31885 47.951 0.065
31886 47.894 0.069
31887 47.853 0.064
31888 47.836 0.066
31889 47.982 0.065
31890 48.021 0.067
31891 47.867 0.066
31892 47.936 0.063
31893 47.924 0.075
31894 47.851 0.062
31895 47.835 0.066
31896 47.995 0.065
31897 48.027 0.064
31898 48.004 0.065
31899 47.975 0.072
31900 62.913 0.061
31901 47.964 0.068
31902 48.121 0.064
31903 48.05 0.065
31904 48.049 0.063
31905 48.009 0.063
31906 47.92 0.062
31907 48.025 0.062
31908 93.457 0.202
31909 51.148 0.073
31910 86.539 0.175
31911 48.738 0.083
31912 47.957 0.059
31913 47.974 0.071
31914 48.081 0.06
31915 48.102 0.067
31916 48.07 0.071
31917 48.106 0.06
31918 48.083 0.066
31919 47.972 0.064
31920 48.032 0.071
31921 47.907 0.059
31922 47.939 0.059
31923 47.962 0.071
31924 48.106 0.061
31925 48.066 0.063
31926 47.989 0.066
31927 48.054 0.059
31928 47.996 0.072
31929 48.009 0.061
31930 47.996 0.064
31931 48.014 0.065
31932 48.073 0.062
31933 48.102 0.062
31934 48.066 0.073
31935 48.024 0.064
31936 48.101 0.065
31937 48.121 0.065
31938 47.947 0.067
31939 48.068 0.066
31940 51.227 0.06
31941 48.012 0.066
31942 47.965 0.062
31943 48.026 0.064
31944 48.091 0.065
31945 47.986 0.062
31946 48.083 0.063
31947 48.127 0.065
31948 48.031 0.066
31949 48.003 0.063
31950 48.04 0.065
31951 48.003 0.063
31952 47.96 0.063
31953 48.076 0.063
31954 47.991 0.064
31955 48.05 0.064
31956 48.382 0.064
31957 48.143 0.063
31958 48.189 0.075
31959 48.122 0.061
31960 48.194 0.064
31961 48.21 0.066
31962 48.162 0.072
31963 48.14 0.066
31964 48.139 0.06
31965 48.169 0.073
31966 48.135 0.072
31967 48.078 0.061
31968 48.215 0.066
31969 48.367 0.064
31970 49.52 0.069
31971 48.588 0.075
31972 48.135 0.059
31973 48.114 0.074
31974 48.128 0.065
31975 48.135 0.065
31976 48.115 0.064
31977 48.216 0.073
31978 48.064 0.065
31979 48.12 0.073
31980 48.297 0.073
31981 48.024 0.075
31982 48.13 0.066
31983 48.131 0.065
31984 48.133 0.063
31985 48.252 0.063
31986 48.213 0.068
31987 48.082 0.068
31988 48.147 0.075
31989 67.35 0.065
31990 57.638 0.181
31991 50.891 0.16
31992 49.544 0.074
31993 48.268 0.072
31994 48.168 0.074
31995 48.187 0.073
31996 48.312 0.061
31997 48.208 0.06
31998 48.262 0.061
31999 48.246 0.065
32000 48.218 0.062
32001 48.182 0.063
32002 48.167 0.073
32003 48.151 0.07
32004 48.18 0.06
32005 48.189 0.067
32006 48.11 0.075
32007 48.581 0.073
32008 48.752 0.063
32009 48.186 0.062
32010 48.139 0.069
32011 48.201 0.063
32012 48.058 0.062
32013 48.217 0.07
32014 48.243 0.064
32015 48.263 0.063
32016 48.276 0.063
32017 48.33 0.06
32018 48.307 0.057
32019 48.104 0.075
32020 48.24 0.071
32021 48.13 0.058
32022 48.184 0.073
32023 48.106 0.063
32024 48.333 0.063
32025 48.275 0.071
32026 48.248 0.073
32027 48.166 0.073
32028 51.187 0.069
32029 48.23 0.063
32030 48.076 0.063
32031 48.107 0.062
32032 48.235 0.071
32033 48.251 0.06
32034 48.111 0.062
32035 48.098 0.063
32036 48.093 0.064
32037 48.34 0.074
32038 48.079 0.059
32039 48.216 0.064
32040 48.098 0.073
32041 48.078 0.068
32042 48.253 0.061
32043 48.159 0.059
32044 48.17 0.058
32045 48.147 0.066
32046 48.169 0.061
32047 48.238 0.063
32048 48.208 0.071
32049 48.25 0.06
32050 48.276 0.065
32051 48.197 0.065
32052 48.096 0.062
32053 48.136 0.071
32054 70.192 0.062
32055 48.223 0.065
32056 48.219 0.063
32057 48.159 0.067
32058 79.206 0.074
32059 48.26 0.064
32060 48.209 0.059
32061 48.226 0.061
32062 48.151 0.066
32063 48.237 0.072
32064 48.261 0.062
32065 48.307 0.063
32066 48.28 0.062
32067 48.347 0.063
32068 48.304 0.063
32069 108.391 0.08
32070 49.07 0.063
32071 49.269 0.163
32072 48.408 0.059
32073 48.488 0.074
32074 48.238 0.057
32075 48.277 0.065
32076 48.245 0.076
32077 48.482 0.066
32078 48.318 0.073
32079 48.227 0.07
32080 48.149 0.061
32081 48.405 0.063
32082 48.325 0.074
32083 48.299 0.06
32084 61.766 0.075
32085 48.363 0.069
32086 48.36 0.06
32087 48.283 0.063
32088 48.374 0.063
32089 51.802 0.071
32090 48.209 0.063
32091 48.208 0.072
32092 48.337 0.065
32093 48.255 0.059
32094 48.353 0.061
32095 48.325 0.062
32096 48.32 0.061
32097 48.281 0.064
32098 48.187 0.057
32099 48.277 0.067
32100 48.279 0.064
32101 48.294 0.063
32102 48.281 0.067
32103 48.221 0.061
32104 48.25 0.074
32105 48.399 0.062
32106 48.351 0.065
32107 48.382 0.063
32108 48.283 0.062
32109 51.761 0.08
32110 63.343 0.071
32111 48.432 0.075
32112 48.374 0.064
32113 48.382 0.074
32114 48.429 0.06
32115 48.372 0.065
32116 48.347 0.063
32117 48.353 0.066
32118 48.32 0.073
32119 48.304 0.073
32120 57.82 0.073
32121 48.396 0.063
32122 48.466 0.062
32123 48.437 0.075
32124 48.422 0.063
32125 48.533 0.068
32126 48.402 0.065
32127 48.44 0.075
32128 48.497 0.062
32129 48.393 0.062
32130 48.39 0.073
32131 48.411 0.064
32132 48.449 0.063
32133 48.398 0.068
32134 48.281 0.059
32135 48.42 0.064
32136 48.393 0.069
32137 48.408 0.065
32138 48.361 0.073
32139 48.479 0.067
32140 48.435 0.062
32141 48.446 0.075
32142 48.382 0.064
32143 48.378 0.066
32144 48.538 0.064
32145 48.499 0.061
32146 48.434 0.064
32147 48.494 0.063
32148 48.38 0.06
32149 343.3 0.189
32150 92.086 0.082
32151 98.011 0.078
32152 51.859 0.081
32153 49.173 0.076
32154 48.629 0.073
32155 48.436 0.061
32156 48.33 0.066
32157 48.435 0.075
32158 48.432 0.06
32159 48.533 0.065
32160 48.335 0.061
32161 48.326 0.064
32162 48.417 0.065
32163 48.433 0.062
32164 48.311 0.072
32165 48.356 0.065
32166 48.382 0.059
32167 48.328 0.065
32168 70.867 0.066
32169 48.368 0.072
32170 48.339 0.061
32171 48.342 0.061
32172 48.35 0.073
32173 48.333 0.07
32174 48.326 0.063
32175 48.387 0.062
32176 48.311 0.073
32177 48.326 0.066
32178 69.765 0.065
32179 48.377 0.067
32180 48.607 0.06
32181 48.328 0.061
32182 48.414 0.065
32183 48.52 0.073
32184 48.426 0.072
32185 48.351 0.074
32186 48.486 0.062
32187 48.382 0.063
32188 54.731 0.064
32189 48.336 0.065
32190 48.474 0.073
32191 48.327 0.07
32192 48.52 0.063
32193 48.422 0.063
32194 48.473 0.065
32195 48.283 0.059
32196 48.707 0.071
32197 48.493 0.066
32198 48.439 0.065
32199 48.607 0.062
32200 48.481 0.062
32201 48.457 0.073
32202 85.174 0.091
32203 51.231 0.06
32204 48.889 0.06
32205 48.762 0.068
32206 48.402 0.072
32207 49.954 0.082
32208 48.499 0.075
32209 48.503 0.059
32210 48.43 0.062
32211 48.338 0.069
32212 48.405 0.063
32213 48.372 0.062
32214 48.36 0.06
32215 48.445 0.066
32216 48.499 0.061
32217 48.42 0.065
32218 48.575 0.064
32219 48.436 0.063
32220 48.422 0.062
32221 48.37 0.064
32222 48.48 0.062
32223 48.389 0.064
32224 48.335 0.064
32225 48.453 0.065
32226 48.402 0.068
32227 48.405 0.059
32228 48.402 0.063
32229 48.362 0.064
32230 48.425 0.063
32231 48.442 0.06
32232 48.478 0.071
32233 48.368 0.061
32234 76.349 0.073
32235 48.774 0.063
32236 48.509 0.065
32237 48.524 0.08
32238 48.576 0.092
32239 48.675 0.069
32240 48.52 0.073
32241 48.461 0.073
32242 48.556 0.064
32243 48.492 0.064
32244 48.537 0.065
32245 48.473 0.063
32246 48.524 0.069
32247 48.672 0.063
32248 54.607 0.067
32249 48.582 0.071
32250 48.603 0.071
32251 48.44 0.078
32252 48.608 0.083
32253 48.566 0.067
32254 48.63 0.065
32255 48.616 0.087
32256 48.657 0.092
32257 48.643 0.065
32258 49.045 0.066
32259 48.548 0.073
32260 48.504 0.061
32261 48.706 0.071
32262 48.522 0.071
32263 48.616 0.069
32264 48.564 0.06
32265 48.611 0.064
32266 48.644 0.062
32267 48.634 0.063
32268 48.625 0.063
32269 51.936 0.063
32270 48.621 0.062
32271 48.593 0.061
32272 48.619 0.064
32273 48.561 0.065
32274 48.666 0.066
32275 59.944 0.071
32276 48.584 0.066
32277 48.65 0.065
32278 48.653 0.072
32279 48.582 0.064
32280 48.602 0.059
32281 48.639 0.072
32282 48.621 0.071
32283 48.62 0.063
32284 48.613 0.075
32285 48.533 0.064
32286 88.223 0.067
32287 48.756 0.064
32288 100.891 0.073
32289 86.209 0.071
32290 50.587 0.059
32291 48.494 0.073
32292 48.47 0.072
32293 48.635 0.059
32294 48.472 0.074
32295 48.622 0.065
32296 48.523 0.062
32297 48.679 0.061
32298 48.559 0.065
32299 48.538 0.062
32300 48.548 0.065
32301 48.706 0.066
32302 48.657 0.073
32303 48.532 0.06
32304 48.558 0.062
32305 48.687 0.061
32306 48.587 0.072
32307 48.594 0.064
32308 48.612 0.061
32309 48.568 0.064
32310 64.571 0.06
32311 48.567 0.072
32312 48.63 0.064
32313 48.662 0.059
32314 48.656 0.062
32315 48.606 0.062
32316 48.69 0.063
32317 48.576 0.061
32318 48.619 0.063
32319 48.83 0.064
32320 48.654 0.067
32321 48.67 0.068
32322 48.624 0.072
32323 48.786 0.069
32324 48.529 0.063
32325 48.585 0.066
32326 48.533 0.071
32327 48.714 0.066
32328 48.618 0.068
32329 48.624 0.063
32330 48.58 0.065
32331 48.657 0.063
32332 48.613 0.062
32333 48.637 0.065
32334 48.762 0.067
32335 48.76 0.066
32336 48.727 0.061
32337 48.708 0.066
32338 48.876 0.065
32339 48.663 0.068
32340 48.637 0.062
32341 48.727 0.068
32342 48.611 0.067
32343 48.598 0.063
32344 48.638 0.063
32345 48.812 0.067
32346 48.645 0.065
32347 48.694 0.064
32348 48.706 0.064
32349 48.75 0.062
32350 48.65 0.066
32351 48.658 0.064
32352 48.75 0.059
32353 48.694 0.065
32354 48.673 0.065
32355 48.734 0.065
32356 48.613 0.066
32357 48.62 0.065
32358 48.693 0.068
32359 48.576 0.069
32360 48.708 0.064
32361 49.028 0.067
32362 48.698 0.073
32363 48.662 0.062
32364 48.63 0.065
32365 48.659 0.064
32366 107.75 0.094
32367 50.288 0.065
32368 49.127 0.064
32369 49.3 0.061
32370 48.842 0.073
32371 48.807 0.064
32372 48.821 0.064
32373 48.774 0.073
32374 48.737 0.062
32375 48.824 0.061
32376 55.153 0.068
32377 48.747 0.063
32378 48.763 0.064
32379 48.73 0.061
32380 48.738 0.067
32381 48.747 0.063
32382 48.841 0.075
32383 48.804 0.065
32384 48.786 0.062
32385 48.765 0.073
32386 48.865 0.074
32387 48.79 0.062
32388 48.828 0.064
32389 48.824 0.063
32390 48.871 0.065
32391 48.882 0.064
32392 48.748 0.074
32393 48.781 0.073
32394 48.773 0.064
32395 49.04 0.075
32396 48.808 0.073
32397 48.825 0.065
32398 48.854 0.073
32399 48.835 0.062
32400 48.769 0.076
32401 48.769 0.062
32402 48.804 0.067
32403 48.764 0.071
32404 48.805 0.06
32405 48.774 0.06
32406 48.695 0.073
32407 48.827 0.061
32408 48.885 0.062
32409 48.805 0.061
32410 48.694 0.065
32411 48.895 0.075
32412 49.581 0.077
32413 48.738 0.063
32414 48.74 0.068
32415 48.863 0.061
32416 48.718 0.062
32417 48.73 0.073
32418 48.836 0.064
32419 48.96 0.063
32420 48.906 0.068
32421 48.828 0.063
32422 48.892 0.066
32423 48.775 0.074
32424 48.84 0.075
32425 48.863 0.065
32426 48.813 0.064
32427 48.938 0.078
32428 48.883 0.065
32429 48.899 0.063
32430 48.818 0.063
32431 48.88 0.062
32432 48.868 0.064
32433 48.847 0.067
32434 48.886 0.075
32435 48.892 0.064
32436 48.945 0.068
32437 48.873 0.063
32438 48.868 0.067
32439 48.947 0.063
32440 48.901 0.063
32441 48.87 0.064
32442 49.007 0.063
32443 48.851 0.066
32444 48.939 0.064
32445 48.869 0.061
32446 67.441 0.085
32447 49.087 0.062
32448 48.845 0.074
32449 48.898 0.065
32450 48.839 0.069
32451 48.796 0.064
32452 48.82 0.066
32453 48.871 0.067
32454 48.911 0.063
32455 48.805 0.068
32456 48.844 0.072
32457 48.856 0.065
32458 49.522 0.063
32459 49.027 0.063
32460 48.893 0.073
32461 48.756 0.067
32462 48.681 0.074
32463 48.856 0.059
32464 49.553 0.069
32465 49.275 0.06
32466 48.831 0.065
32467 48.94 0.06
32468 48.862 0.063
32469 48.829 0.061
32470 48.824 0.061
32471 49 0.057
32472 48.869 0.059
32473 48.778 0.06
32474 48.743 0.07
32475 48.867 0.062
32476 48.92 0.062
32477 48.846 0.059
32478 48.818 0.073
32479 48.813 0.062
32480 48.936 0.059
32481 48.911 0.063
32482 49.02 0.065
32483 48.925 0.062
32484 48.8 0.061
32485 48.965 0.073
32486 49.125 0.063
32487 48.941 0.073
32488 48.867 0.062
32489 48.885 0.062
32490 48.872 0.063
32491 57.953 0.063
32492 48.897 0.062
32493 48.912 0.072
32494 48.869 0.062
32495 49.048 0.062
32496 48.856 0.07
32497 48.929 0.061
32498 48.998 0.062
32499 48.807 0.062
32500 49.025 0.072
32501 48.856 0.059
32502 48.816 0.058
32503 48.982 0.062
32504 48.902 0.062
32505 48.899 0.071
32506 48.888 0.064
32507 48.904 0.065
32508 48.898 0.064
32509 48.899 0.064
32510 48.918 0.061
32511 49.052 0.065
32512 48.965 0.066
32513 48.865 0.063
32514 48.917 0.06
32515 49.272 0.072
32516 49.173 0.077
32517 48.861 0.055
32518 49.024 0.065
32519 48.779 0.061
32520 48.779 0.064
32521 48.973 0.064
32522 48.984 0.06
32523 48.905 0.072
32524 48.899 0.073
32525 48.815 0.063
32526 61.203 0.073
32527 51.8 0.193
32528 50.372 0.057
32529 48.94 0.073
32530 48.901 0.072
32531 48.89 0.061
32532 48.944 0.071
32533 48.84 0.064
32534 48.932 0.065
32535 48.908 0.062
32536 48.958 0.062
32537 48.899 0.061
32538 48.937 0.074
32539 48.885 0.062
32540 48.894 0.064
32541 48.89 0.068
32542 48.987 0.064
32543 48.955 0.063
32544 49.01 0.062
32545 48.946 0.06
32546 48.86 0.065
32547 48.928 0.062
32548 48.95 0.062
32549 48.906 0.073
32550 48.837 0.066
32551 49.01 0.063
32552 48.955 0.062
32553 49.008 0.064
32554 48.938 0.063
32555 48.973 0.06
32556 48.97 0.075
32557 48.917 0.059
32558 48.945 0.062
32559 48.98 0.065
32560 48.958 0.075
32561 48.92 0.058
32562 48.973 0.071
32563 48.913 0.076
32564 48.99 0.064
32565 48.974 0.068
32566 49.412 0.086
32567 49.493 0.075
32568 48.917 0.062
32569 48.866 0.061
32570 49.141 0.063
32571 48.92 0.071
32572 48.965 0.063
32573 48.932 0.07
32574 49.051 0.06
32575 49.071 0.072
32576 48.96 0.062
32577 49.083 0.063
32578 49.186 0.071
32579 49.053 0.071
32580 49.066 0.064
32581 49.132 0.072
32582 49.061 0.064
32583 49.124 0.069
32584 48.923 0.063
32585 48.984 0.065
32586 49.238 0.06
32587 49.131 0.073
32588 49.064 0.062
32589 49.086 0.065
32590 49.016 0.075
32591 49.048 0.06
32592 49.152 0.073
32593 49.06 0.061
32594 49.056 0.063
32595 48.953 0.073
32596 49.018 0.063
32597 55.246 0.061
32598 48.992 0.059
32599 49.023 0.062
32600 48.942 0.059
32601 49.075 0.073
32602 48.963 0.064
32603 49.041 0.073
32604 48.969 0.066
32605 49.047 0.073
32606 49.071 0.065
32607 89.993 0.083
32608 87.057 0.244
32609 52.641 0.15
32610 50.102 0.063
32611 49.456 0.073
32612 48.964 0.063
32613 49.068 0.059
32614 49.191 0.061
32615 49.199 0.062
32616 91.055 0.096
32617 49.899 0.061
32618 49.582 0.058
32619 49.074 0.062
32620 48.99 0.058
32621 49.014 0.065
32622 48.932 0.073
32623 48.898 0.071
32624 48.945 0.066
32625 48.937 0.073
32626 48.965 0.059
32627 48.994 0.073
32628 49.038 0.067
32629 49.071 0.063
32630 49.141 0.067
32631 49.082 0.074
32632 48.977 0.064
32633 49.106 0.059
32634 49.119 0.064
32635 49.167 0.075
32636 49.218 0.064
32637 49.027 0.062
32638 49.145 0.065
32639 48.97 0.072
32640 49.097 0.071
32641 49.137 0.062
32642 49.069 0.062
32643 49.139 0.063
32644 48.998 0.061
32645 49.149 0.062
32646 48.991 0.061
32647 49.021 0.073
32648 49.082 0.072
32649 49.079 0.06
32650 49.068 0.073
32651 49.036 0.072
32652 48.99 0.064
32653 49.03 0.062
32654 48.981 0.062
32655 49.175 0.062
32656 49.122 0.063
32657 49.009 0.063
32658 48.974 0.065
32659 48.979 0.064
32660 49.102 0.072
32661 49.049 0.072
32662 48.984 0.064
32663 48.97 0.062
32664 49.004 0.065
32665 49.96 0.063
32666 49.639 0.062
32667 49.13 0.065
32668 49.108 0.069
32669 49.262 0.073
32670 49.116 0.064
32671 49.097 0.065
32672 49.077 0.062
32673 49.16 0.075
32674 49.142 0.068
32675 49.134 0.064
32676 49.155 0.073
32677 49.14 0.06
32678 49.157 0.062
32679 49.149 0.063
32680 49.119 0.064
32681 49.111 0.068
32682 49.117 0.066
32683 49.135 0.074
32684 142.454 0.077
32685 49.596 0.065
32686 49.531 0.061
32687 49.173 0.069
32688 49.178 0.069
32689 49.236 0.073
32690 49.104 0.065
32691 49.069 0.073
32692 49.124 0.07
32693 49.131 0.071
32694 67.798 0.064
32695 49.172 0.064
32696 49.267 0.07
32697 49.104 0.063
32698 49.135 0.061
32699 49.156 0.063
32700 49.131 0.064
32701 49.077 0.073
32702 49.16 0.066
32703 49.204 0.071
32704 49.266 0.062
32705 49.084 0.061
32706 49.194 0.065
32707 49.188 0.059
32708 49.18 0.062
32709 49.097 0.072
32710 49.179 0.065
32711 49.283 0.062
32712 49.106 0.067
32713 49.152 0.071
32714 49.147 0.062
32715 94.238 0.064
32716 49.389 0.057
32717 49.184 0.063
32718 49.228 0.065
32719 49.313 0.073
32720 49.274 0.065
32721 53.778 0.059
32722 49.223 0.072
32723 49.345 0.063
32724 49.216 0.061
32725 49.223 0.062
32726 49.244 0.063
32727 49.145 0.064
32728 49.176 0.065
32729 49.22 0.063
32730 49.333 0.063
32731 49.166 0.066
32732 49.299 0.061
32733 49.399 0.073
32734 49.238 0.066
32735 49.32 0.063
32736 49.224 0.062
32737 49.373 0.062
32738 49.264 0.072
32739 49.217 0.073
32740 49.241 0.062
32741 49.246 0.062
32742 49.233 0.064
32743 49.302 0.074
32744 49.17 0.064
32745 49.217 0.063
32746 49.199 0.067
32747 49.325 0.062
32748 49.282 0.065
32749 49.223 0.072
32750 49.205 0.072
32751 49.332 0.063
32752 49.167 0.073
32753 49.243 0.062
32754 49.381 0.063
32755 49.339 0.063
32756 49.304 0.066
32757 49.227 0.064
32758 49.214 0.063
32759 49.243 0.061
32760 49.248 0.073
32761 49.238 0.062
32762 49.359 0.064
32763 49.247 0.062
32764 83.373 0.067
32765 60.226 1.54
32766 58.132 0.065
32767 49.512 0.059
32768 49.331 0.061
32769 49.374 0.06
32770 49.284 0.065
32771 49.281 0.066
32772 49.342 0.061
32773 49.199 0.061
32774 49.186 0.056
32775 49.268 0.064
32776 49.358 0.073
32777 49.381 0.063
32778 49.327 0.065
32779 49.208 0.063
32780 49.242 0.065
32781 49.256 0.067
32782 49.24 0.067
32783 49.391 0.071
32784 49.356 0.065
32785 49.229 0.073
32786 49.19 0.065
32787 72.333 0.07
32788 49.249 0.064
32789 49.29 0.063
32790 49.392 0.061
32791 49.366 0.073
32792 49.294 0.062
32793 49.338 0.062
32794 49.269 0.066
32795 49.375 0.063
32796 49.379 0.072
32797 49.38 0.073
32798 49.404 0.065
32799 49.385 0.062
32800 49.299 0.072
32801 60.129 0.057
32802 49.326 0.062
32803 49.295 0.061
32804 49.358 0.064
32805 49.363 0.062
32806 49.244 0.063
32807 49.287 0.064
32808 49.365 0.061
32809 49.592 0.066
32810 49.352 0.062
32811 49.425 0.062
32812 49.33 0.062
32813 49.457 0.062
32814 49.325 0.066
32815 49.361 0.059
32816 49.292 0.066
32817 49.359 0.062
32818 49.325 0.065
32819 49.413 0.064
32820 49.54 0.064
32821 49.541 0.073
32822 49.296 0.06
32823 49.447 0.062
32824 49.447 0.064
32825 49.453 0.072
32826 49.436 0.064
32827 49.406 0.068
32828 49.427 0.062
32829 49.545 0.063
32830 49.476 0.073
32831 49.424 0.06
32832 49.427 0.062
32833 49.507 0.065
32834 49.4 0.075
32835 49.499 0.061
32836 49.362 0.064
32837 49.485 0.071
32838 49.568 0.064
32839 49.521 0.065
32840 49.518 0.069
32841 49.382 0.069
32842 49.485 0.064
32843 68.972 0.083
32844 50.422 0.073
32845 49.575 0.058
32846 49.741 0.065
32847 49.447 0.066
32848 49.606 0.064
32849 49.404 0.071
32850 49.426 0.063
32851 49.375 0.064
32852 49.364 0.065
32853 49.403 0.058
32854 49.445 0.061
32855 49.425 0.059
32856 49.384 0.063
32857 49.392 0.061
32858 49.415 0.061
32859 49.547 0.059
32860 49.482 0.075
32861 49.348 0.062
32862 49.359 0.062
32863 49.434 0.06
32864 49.536 0.075
32865 49.474 0.069
32866 49.606 0.07
32867 49.518 0.062
32868 49.434 0.064
32869 49.468 0.069
32870 49.435 0.063
32871 49.475 0.07
32872 49.388 0.072
32873 49.434 0.062
32874 49.474 0.063
32875 49.375 0.07
32876 49.414 0.062
32877 49.365 0.061
32878 49.409 0.064
32879 49.432 0.058
32880 49.405 0.061
32881 49.461 0.059
32882 49.582 0.062
32883 49.409 0.066
32884 49.425 0.061
32885 49.459 0.062
32886 49.406 0.071
32887 49.498 0.066
32888 49.484 0.06
32889 49.435 0.06
32890 49.464 0.07
32891 49.478 0.061
32892 49.464 0.059
32893 49.433 0.062
32894 49.514 0.066
32895 49.415 0.057
32896 49.484 0.073
32897 49.551 0.061
32898 49.43 0.065
32899 49.53 0.062
32900 49.491 0.062
32901 49.437 0.062
32902 55.121 0.072
32903 49.496 0.071
32904 49.495 0.062
32905 49.461 0.065
32906 49.5 0.066
32907 49.468 0.073
32908 49.497 0.072
32909 49.522 0.066
32910 49.477 0.065
32911 49.476 0.06
32912 49.429 0.065
32913 49.478 0.069
32914 49.552 0.062
32915 49.597 0.063
32916 49.508 0.07
32917 49.62 0.066
32918 49.891 0.064
32919 49.467 0.062
32920 49.529 0.066
32921 49.485 0.073
32922 87.553 0.073
32923 50.284 0.073
32924 49.71 0.072
32925 49.638 0.063
32926 49.895 0.061
32927 49.623 0.06
32928 49.705 0.062
32929 49.543 0.061
32930 49.565 0.06
32931 49.482 0.061
32932 49.521 0.065
32933 49.589 0.062
32934 49.579 0.063
32935 49.576 0.064
32936 49.562 0.064
32937 49.578 0.073
32938 52.815 0.075
