Insertion_Index Worst_Case_Time(us) Best_Case_Time(us)
317 0.648 0.062
318 0.644 0.059
319 0.625 0.064
320 0.643 0.06
321 12.284 0.87
322 0.624 0.062
323 0.629 0.075
324 0.613 0.065
325 0.625 0.062
326 0.624 0.062
327 0.611 0.063
328 0.618 0.064
329 0.642 0.062
330 0.639 0.064
331 0.623 0.062
332 0.65 0.06
333 0.627 0.063
334 0.656 0.062
335 0.653 0.064
336 0.638 0.059
337 0.643 0.063
338 0.652 0.059
339 0.648 0.065
340 0.661 0.059
341 0.631 0.061
342 0.662 0.06
343 0.643 0.063
344 0.651 0.063
345 0.646 0.06
346 0.653 0.062
347 0.649 0.062
348 0.656 0.064
349 0.658 0.063
350 0.658 0.063
351 0.66 0.062
352 0.656 0.062
353 0.663 0.065
354 0.694 0.061
355 0.66 0.063
356 0.683 0.065
357 0.664 0.063
358 0.689 0.063
359 0.674 0.062
360 0.69 0.063
361 0.667 0.064
362 0.691 0.061
363 0.674 0.063
364 0.703 0.061
365 0.68 0.062
366 0.695 0.06
367 0.679 0.064
368 0.701 0.062
369 0.678 0.061
370 0.717 0.065
371 0.688 0.063
372 0.709 0.071
373 0.713 0.064
374 0.708 0.062
375 0.688 0.062
376 0.72 0.06
377 1.241 0.065
378 1.174 0.061
379 1.12 0.096
380 0.7 0.061
381 0.644 0.062
382 1.76 0.06
383 0.767 0.062
384 0.698 0.061
385 0.649 0.106
386 1.227 0.059
387 0.719 0.062
388 0.716 0.127
389 0.719 0.064
390 1.169 0.067
391 0.791 0.059
392 0.717 0.06
393 0.715 0.058
394 1.213 0.08
395 0.666 0.063
396 0.736 0.061
397 1.222 0.072
398 0.752 0.059
399 0.733 0.07
400 0.794 0.062
401 0.719 0.061
402 0.733 0.061
403 0.68 0.063
404 0.823 0.065
405 0.682 0.061
406 0.804 0.063
407 1.32 0.059
408 0.693 0.058
409 0.789 0.073
410 0.688 0.062
411 0.689 0.062
412 1.382 0.073
413 0.751 0.06
414 0.746 0.08
415 1.258 0.08
416 0.759 0.061
417 1.322 0.078
418 0.768 0.062
419 1.287 0.066
420 1.276 0.143
421 1.3 0.067
422 1.417 0.091
423 1.312 0.083
424 0.782 0.062
425 1.3 0.064
426 1.294 0.163
427 0.736 0.049
428 0.859 0.064
429 1.248 0.075
430 1.259 0.074
431 1.397 0.076
432 0.874 0.073
433 1.145 0.056
434 0.95 0.06
435 0.794 0.057
436 0.799 0.054
437 0.827 0.06
438 0.809 0.063
439 0.806 0.072
440 0.793 0.06
441 0.804 0.061
442 0.803 0.066
443 1.378 0.075
444 0.848 0.059
445 0.796 0.063
446 0.807 0.07
447 0.807 0.062
448 0.889 0.063
449 0.831 0.068
450 1.457 0.08
451 0.864 0.062
452 0.835 0.058
453 0.874 0.062
454 0.84 0.06
455 1.413 0.083
456 0.855 0.062
457 0.822 0.061
458 0.835 0.063
459 0.833 0.06
460 0.799 0.064
461 0.762 0.062
462 1.431 0.062
463 0.771 0.06
464 0.769 0.063
465 0.77 0.063
466 1.553 0.061
467 1.469 0.068
468 0.778 0.062
469 0.983 0.058
470 1.596 0.074
471 0.78 0.063
472 0.777 0.063
473 0.922 0.059
474 0.783 0.064
475 1.497 0.06
476 1.541 0.083
477 0.993 0.06
478 0.926 0.06
479 0.791 0.061
480 0.884 0.06
481 1.441 0.07
482 0.861 0.061
483 0.867 0.061
484 0.887 0.066
485 0.897 0.061
486 0.887 0.062
487 0.877 0.061
488 0.865 0.061
489 0.933 0.063
490 0.875 0.057
491 0.882 0.059
492 1.536 0.057
493 1.549 0.063
494 1.435 0.065
495 0.897 0.06
496 0.827 0.063
497 1.423 0.064
498 1.564 0.067
499 1.519 0.062
500 1.511 0.071
501 1.37 0.07
502 1.486 0.073
503 1.518 0.108
504 1.445 0.08
505 1.013 0.058
506 1.912 0.061
507 2.168 0.073
508 1.778 0.082
509 1.616 0.092
510 1.667 0.07
511 1.514 0.065
512 1.878 0.096
513 2.124 0.063
514 2.169 0.065
515 1.784 0.077
516 1.112 0.062
517 1.787 0.086
518 1.609 0.074
519 1.778 0.099
520 1.667 0.097
521 1.729 0.078
522 1.582 0.069
523 1.633 0.07
524 1.646 0.065
525 1.691 0.08
526 1.826 0.067
527 1.626 0.077
528 1.733 0.084
529 1.868 0.08
530 1.748 0.067
531 1.677 0.077
532 1.717 0.08
533 1.638 0.069
534 1.634 0.068
535 1.686 0.075
536 1.621 0.074
537 1.717 0.07
538 1.704 0.08
539 1.227 0.064
540 1.058 0.059
541 1.066 0.061
542 1.629 0.068
543 0.939 0.061
544 1.686 0.073
545 1.063 0.058
546 1.719 0.064
547 1.086 0.06
548 0.981 0.063
549 1.779 0.076
550 1.634 0.066
551 1.774 0.072
552 1.646 0.077
553 1.603 0.089
554 1.687 0.082
555 1.113 0.064
556 1.062 0.062
557 1.753 0.075
558 1.731 0.058
559 1.727 0.06
560 1.834 0.077
561 1.859 0.06
562 1.893 0.064
563 1.871 0.069
564 1.728 0.077
565 2.028 0.065
566 1.843 0.062
567 2.044 0.064
568 2.236 0.078
569 1.965 0.06
570 1.282 0.06
571 1.398 0.058
572 2.147 0.067
573 2.187 0.06
574 1.986 0.078
575 2.098 0.059
576 1.927 0.067
577 1.228 0.084
578 1.855 0.083
579 2.229 0.062
580 1.901 0.063
581 1.779 0.068
582 1.971 0.076
583 2.123 0.057
584 1.389 0.078
585 1.901 0.07
586 1.245 0.082
587 1.95 0.094
588 2.038 0.088
589 2.08 0.09
590 1.172 0.083
591 2.052 0.088
592 1.973 0.073
593 1.181 0.084
594 1.322 0.08
595 1.149 0.063
596 1.31 0.078
597 2.024 0.081
598 2.055 0.078
599 1.243 0.08
600 1.164 0.064
601 1.901 0.069
602 2.098 0.068
603 2.097 0.07
604 1.994 0.065
605 2.005 0.089
606 2.429 0.074
607 1.927 0.071
608 2.167 0.08
609 2.025 0.082
610 1.875 0.066
611 2.283 0.066
612 2.349 0.078
613 2.607 0.076
614 2.402 0.073
615 1.397 0.07
616 2.238 0.077
617 2.194 0.09
618 2.126 0.092
619 2.356 0.075
620 1.431 0.071
621 1.534 0.095
622 2.492 0.15
623 1.618 0.092
624 2.111 0.078
625 2.398 0.087
626 1.799 0.077
627 2.365 0.078
628 2.75 0.066
629 2 0.083
630 2.792 0.114
631 2.365 0.079
632 1.946 0.07
633 2.197 0.084
634 1.471 0.069
635 1.489 0.073
636 2.117 0.08
637 1.486 0.07
638 1.5 0.073
639 1.481 0.075
640 1.483 0.071
641 14.125 1.35
642 1.566 0.069
643 1.371 0.07
644 2.088 0.081
645 1.915 0.067
646 1.295 0.07
647 1.12 0.061
648 1.431 0.062
649 1.595 0.061
650 1.639 0.067
651 1.323 0.06
652 1.449 0.061
653 1.918 0.056
654 1.358 0.063
655 1.059 0.062
656 1.408 0.06
657 1.184 0.064
658 1.305 0.06
659 1.063 0.069
660 1.068 0.061
661 1.074 0.065
662 1.211 0.085
663 1.162 0.061
664 1.17 0.062
665 1.174 0.063
666 1.195 0.06
667 1.169 0.063
668 1.172 0.064
669 1.286 0.074
670 1.082 0.066
671 1.377 0.073
672 1.986 0.067
673 2.065 0.067
674 2.171 0.063
675 1.988 0.062
676 3.289 0.063
677 3.066 0.085
678 1.533 0.06
679 2.521 0.074
680 1.684 0.059
681 1.599 0.061
682 1.144 0.063
683 1.452 0.062
684 1.476 0.06
685 2.093 0.063
686 1.448 0.062
687 1.452 0.059
688 2.35 0.067
689 1.474 0.061
690 1.217 0.06
691 1.112 0.062
692 1.116 0.063
693 1.22 0.06
694 1.3 0.064
695 1.127 0.064
696 1.23 0.063
697 1.169 0.063
698 1.221 0.056
699 1.148 0.063
700 1.222 0.061
701 1.263 0.06
702 1.229 0.062
703 1.234 0.058
704 1.264 0.064
705 1.232 0.061
706 1.266 0.058
707 1.278 0.063
708 1.237 0.063
709 1.247 0.059
710 1.276 0.06
