Function_Index Worst_Case_Time(us) Best_Case_Time(us)
2515 11481.2 23.822
2516 12840.1 24.239
2517 11744.9 24.117
2518 11480.6 23.732
2519 11420.3 30.313
2520 11522.2 23.865
2521 11625.4 23.878
2522 11400 16.61
2523 13124.9 24.118
2524 12435.2 24.888
2525 11909.2 24.271
2526 11931.4 23.691
2527 11677.1 23.538
2528 11569.1 23.726
2529 11627.3 16.847
2530 11544 23.782
2531 14754.1 50.886
2532 12946.5 25.014
2533 12294.7 40.457
2534 11584.1 16.778
2535 11818.7 16.973
2536 14365.3 32.876
2537 11879.9 23.873
2538 11523.7 23.727
2539 11796.2 23.552
2540 11738.2 23.574
2541 11652.7 30.875
2542 11645.6 23.708
2543 14958.6 33.336
2544 12009.5 23.874
2545 12611.2 18.885
2546 11743.5 24.512
2547 16075.4 32.732
2548 13105.3 23.81
2549 14462.4 24.913
2550 11847.8 16.958
2551 11757.4 16.771
2552 11952.2 17.019
2553 11902 17.333
2554 12169.7 24.651
2555 11802.1 23.948
2556 13041.7 25.42
2557 12142.6 24.694
2558 12573 18.513
2559 11937.1 23.81
2560 15894.4 27.785
2561 12713.1 37.836
2562 12048.5 23.658
2563 11808 16.978
2564 17762.3 65.512
2565 13937.8 24.403
2566 12170.9 17.311
2567 12336.9 23.933
2568 12105 23.893
2569 11831.2 41.246
2570 11914.8 23.735
2571 12167.6 23.955
2572 12444.7 17.44
2573 11952.7 24.472
2574 12309 24.373
2575 12191.6 24.16
2576 11856.3 23.655
2577 12379.6 24.005
2578 12825 23.764
2579 12578.2 24.008
2580 12216.3 23.966
2581 11956.3 23.901
2582 12228.1 24.053
2583 13780.9 33.37
2584 12728.2 18.775
2585 12049.4 24.168
2586 12417.3 24.268
2587 12308.7 23.945
2588 12124.1 17.409
2589 12121.4 23.91
2590 12282.1 24.185
2591 12659.9 24.124
2592 12140.1 24.134
2593 12259.5 24.334
2594 15866.3 33.721
2595 12270.2 24.403
2596 18293.5 25.458
2597 14627.5 32.931
2598 13662.1 18.917
2599 12229.5 24.115
2600 14259 33.654
2601 16156.7 25.396
2602 13837.8 17.545
2603 12605 24.802
2604 12150.2 24.126
2605 18383.7 29.294
2606 15902.4 32.816
2607 12309.6 24.191
2608 12541.2 24.569
2609 12344.8 24.218
2610 12288.6 17.292
2611 12228.7 24.158
2612 12545.5 18.074
2613 12829.5 24.537
2614 13553.9 18.855
2615 12423.7 24.582
2616 17124.7 35.013
2617 12478.5 23.87
2618 12437.1 17.747
2619 14313.1 25.432
2620 12653.5 24.091
2621 12353.2 24.657
2622 12627.9 24.092
2623 13488.1 24.651
2624 12653.8 24.361
2625 12401.6 17.392
2626 13055.1 24.318
2627 12746.7 24.732
2628 12730 24.439
2629 12727.1 24.972
2630 12495.2 24.611
2631 16376.1 31.501
2632 23341.4 23.157
2633 12993.5 16.931
2634 11516.8 23.351
2635 15710.5 24.276
2636 30179.6 33.194
2637 25702 42.69
2638 13918.5 23.496
2639 17928 23.928
2640 12802.5 23.205
2641 12501.6 18.223
2642 11839.6 22.638
2643 11807.8 22.586
2644 16890.9 24.874
2645 15132.5 22.502
2646 11606.2 22.493
2647 18067 34.769
2648 23513.3 22.258
2649 12215.2 18.038
2650 14335.9 30.876
2651 12949.9 22.718
2652 11754 22.51
2653 11717 22.579
2654 11828.6 23.207
2655 11992.8 23.139
2656 11891.3 22.614
2657 12777.1 23.084
2658 11880.9 16.367
2659 11718.1 22.47
2660 11836.5 22.974
2661 11877.3 31.41
2662 12700.3 30.945
2663 11744.8 36.756
2664 12607.3 22.965
2665 11862 22.489
2666 11917.7 23.016
2667 14677.7 24.13
2668 17128.5 23.593
2669 13308.1 32.923
2670 25174.3 21.411
2671 20616.5 35.011
2672 27336.5 35.431
2673 25187.4 21.866
2674 12989.1 22.937
2675 12097 22.693
2676 12647.5 22.687
2677 12194.8 23.072
2678 12176.1 23.216
2679 11913 23.11
2680 11967.8 22.715
2681 12155.3 23.204
2682 14176.8 31.397
2683 12175.4 23.034
2684 12671.4 31.854
2685 12151.8 22.915
2686 12376.1 22.924
2687 15861.7 31.409
2688 12211 22.802
2689 12017 22.629
2690 12230.9 23.093
2691 12006 22.598
2692 12079 22.697
2693 12803.6 23.6
2694 16758.3 23.848
2695 12354.9 22.895
2696 12216.4 23.256
2697 12150.3 22.813
2698 12038.5 22.892
2699 14149.9 23.007
2700 12616.4 23.253
2701 12330.1 22.934
2702 12367.5 22.988
2703 12360.5 22.608
2704 12109.3 22.796
2705 12565.5 22.801
2706 12656.4 23.444
2707 12232 23.109
2708 12386.9 22.842
2709 12179.5 22.722
2710 22751 27.196
2711 13293.5 23.021
2712 12930 23.768
2713 12362.2 22.87
2714 12469.8 23.567
2715 12799.4 23.505
2716 12354.1 123.499
2717 12289.5 22.916
2718 12657.9 31.744
2719 12353.5 22.913
2720 12335.8 23.55
2721 12397.6 22.861
2722 12298.5 23.072
2723 12380.8 16.505
2724 15610.7 31.732
2725 12499.2 23.089
2726 13400.4 23.738
2727 12666 23.164
2728 12424.6 16.6
2729 12352.5 23.224
2730 14193.7 23.706
2731 16695.2 31.766
2732 12977.2 23.038
2733 12560.6 23.276
2734 15189.2 31.587
2735 12664.9 23.399
2736 12560.9 22.904
2737 13846.5 23.444
2738 12650.7 31.619
2739 12486.4 23.502
2740 12732.8 22.964
2741 12569.5 23.335
2742 12919.4 23.476
2743 12675.4 22.924
2744 12533.1 23.17
2745 17875 25.049
2746 12857.7 23.55
2747 19971.3 34.663
2748 23890.5 21.909
2749 13126.1 23.321
2750 19333.5 34.483
2751 19369.3 23.955
2752 12851.4 17.056
2753 12711.4 16.929
2754 12548 16.681
2755 12677.5 23.229
2756 12846.8 23.008
2757 13004.4 23.598
2758 13876.3 32.367
2759 13235.3 23.376
2760 12671.5 23.692
2761 13021.2 23.323
2762 12769.3 16.979
2763 12789.2 23.391
2764 13015.4 23.536
2765 13405.8 24.063
2766 12753 23.244
2767 12831.4 23.2
2768 13380.4 23.724
2769 13023 23.469
2770 13381.1 23.66
2771 12953.4 23.43
2772 12861.5 23.467
2773 12753.6 23.272
2774 12932.8 16.921
2775 13432.5 23.454
2776 12920.9 23.449
2777 13257.6 24.156
2778 13479.1 24.623
2779 13097.4 23.51
2780 12808.2 23.491
2781 13504.6 23.467
2782 12951.3 23.876
2783 12917.4 23.218
2784 13932.6 24.069
2785 13117.1 23.827
2786 13842 19.641
2787 13247.8 23.896
2788 13172.1 24.282
2789 13571.7 17.162
2790 13098.6 17.001
2791 20527.4 18.879
2792 32280.5 35.59
2793 22505.2 18.951
2794 18750.9 24.129
2795 13365 18.418
2796 13129.4 23.428
2797 13043.7 23.724
2798 13365.8 23.993
2799 15089.7 24.88
2800 19284.1 29.491
2801 17257 18.704
2802 15454.4 24.146
2803 13325.7 23.441
2804 13293 23.641
2805 13299.1 23.713
2806 18149 32.787
2807 13287.6 23.529
2808 13141.6 23.434
2809 13172 23.968
2810 14244.3 19.361
2811 13634 24.031
2812 13113.8 23.547
2813 13225.9 23.316
2814 24905.2 26.496
2815 17231.9 24.618
2816 13555 23.976
2817 13430.5 24.291
2818 14570.8 25.046
2819 19142.1 20.472
2820 13683.4 24.484
2821 13558.8 23.915
2822 14128.2 24.666
2823 14865.6 24.691
2824 14285.1 24.222
2825 13440.1 23.771
2826 13351.6 23.705
2827 13311 23.512
2828 18006.8 32.524
2829 14837.3 24.189
2830 14549.2 18.295
2831 13884.9 23.835
2832 19367.4 33.245
2833 16193.9 23.783
2834 18838.9 51.708
2835 27241.6 24.463
2836 13600.3 23.465
2837 13445.2 23.681
2838 13370.9 23.379
2839 13387.3 17.437
2840 13813.6 24.018
2841 25014.8 33.737
2842 14011.9 24.026
2843 13710.5 24.008
2844 13797.9 24.093
2845 13597.3 26.804
2846 13641.4 23.767
2847 13615.7 24.641
2848 18301.7 34.123
2849 14108.9 24.954
2850 13775.7 23.808
2851 13665.2 24.584
2852 14534.7 24.687
2853 14734.8 24.297
2854 14790.7 24.711
2855 13671.1 23.519
2856 13561.7 23.765
2857 14147.2 24.201
2858 15302.7 24.751
2859 13993 23.906
2860 13836.6 23.74
2861 13743.2 23.728
2862 16522.1 34.291
2863 13793.3 23.888
2864 13713.1 17.77
2865 15863 25.458
2866 14035.6 24.441
2867 13775.9 18.968
2868 14836.3 23.94
2869 13900.1 23.763
2870 13804.6 33.45
2871 14042.2 23.932
2872 14251.6 24.478
2873 13955 24.058
2874 18809.9 28.923
2875 14178.4 23.989
2876 22445.8 35.768
2877 19329.3 23.994
2878 13846.2 23.978
2879 13907.2 23.867
2880 14094.7 39.965
2881 15810.9 32.84
2882 14527 24.286
2883 14419.1 23.997
2884 13851.2 23.897
2885 14321.8 24.074
2886 14337.4 46.039
2887 14980 25.202
2888 17130.4 18.58
2889 13882.5 23.93
2890 14339.4 25.091
2891 14449.9 23.881
2892 14043.2 24.055
2893 14154.1 24.168
2894 14038.4 24.246
2895 14063.3 24.054
2896 14024.7 24.241
2897 16542.3 24.529
2898 14211.8 23.912
2899 14320 24.391
2900 16253.6 24.682
2901 17981.4 25.27
2902 14206.4 24.22
2903 14098.3 24.53
2904 14039.8 17.581
2905 14470.5 24.456
2906 14445 25.228
2907 14292.2 24.359
2908 14510.7 19.088
2909 14245.1 38.001
2910 14402.8 24.337
2911 14432.4 38.149
2912 14615.4 24.497
2913 14749.3 24.134
2914 14274.8 24.61
2915 14227.4 24.052
2916 14249.2 24.443
2917 14126 24.181
2918 14247.3 24.425
2919 14367.6 17.979
2920 14742.5 24.937
2921 15430.2 25.12
2922 17612 25.541
2923 21220.9 35.478
2924 16279.2 33.592
2925 14233.9 23.802
2926 14388.7 24.473
2927 14385.7 25.085
2928 14391.4 24.747
2929 15694.3 24.766
2930 14613.4 24.514
2931 18554.9 35.665
2932 30693.5 52.076
2933 20970.9 40.305
2934 22037.1 25.421
2935 14829.1 24.954
2936 14522.3 24.67
2937 14659.2 24.44
2938 14611.2 25
2939 14467.5 24.7
2940 14483.2 24.922
2941 16693.2 29.432
2942 22196.6 36.983
2943 17614.3 24.173
2944 14513.1 17.865
2945 14697 24.446
2946 14822.7 25.084
2947 14472.7 24.18
2948 14517.8 23.858
2949 20232.4 20.161
2950 15517.6 24.537
2951 15099.5 27.223
2952 15144.1 25.695
2953 14538 24.248
2954 14634.1 24.384
2955 14718.6 24.636
2956 14680.2 24.184
2957 14574.3 24.317
2958 14736.7 25.031
2959 15118.8 24.855
2960 14750.9 24.543
2961 14771.5 24.473
2962 15166.6 24.958
2963 14714.1 24.338
2964 14705 24.228
2965 14643.8 17.943
2966 14992.2 25.388
2967 14852.6 33.279
2968 15254.2 25.61
2969 14959.2 24.755
2970 15206.3 24.15
2971 15111.9 24.837
2972 17416.9 46.306
2973 14911.1 24.6
2974 14793.1 24.732
2975 15104.2 23.98
2976 14543.1 23.902
2977 14498.9 25.175
2978 14265.9 23.386
2979 16838.4 32.66
2980 14573 23.711
2981 14439.9 17.739
2982 14485.8 23.843
2983 14298.6 23.845
2984 14413.5 23.443
2985 14485 23.794
2986 15232.5 24.533
2987 15014 24.348
2988 14857.7 24.629
2989 14539 23.716
2990 14500.3 23.76
2991 14740.9 24.134
2992 14487.7 25.135
2993 14582 24.397
2994 16764.4 33.002
2995 14937.2 24.034
2996 14784.1 23.439
2997 17566.2 23.828
2998 14624.7 24.018
2999 14413.7 23.646
3000 14522.4 24.009
3001 14463.3 23.894
3002 17513.7 32.931
3003 14770.1 24.07
3004 15350.1 24.822
3005 15018 23.693
3006 14483.1 23.713
3007 14622.3 24.015
3008 14623.3 23.759
3009 14721.4 25.565
3010 14465.6 23.947
3011 18875.1 33.591
3012 14923.5 23.827
3013 14737.5 24.569
3014 14830 24.214
3015 14819.6 23.98
3016 14619.5 23.757
3017 14725.8 23.785
3018 14819.6 23.737
3019 20660.4 23.245
3020 14946.8 24.114
3021 15108.4 24.109
3022 15005.2 23.949
3023 15599.2 24.793
3024 14874.6 18.025
3025 14771.2 24.004
3026 15006.5 24.018
3027 14847.3 23.877
3028 14846.4 24.329
3029 14836.1 24.128
3030 14891.7 23.928
3031 15008.1 23.948
3032 14897.5 24.231
3033 15091.5 24.182
3034 14764.5 23.93
3035 15320.8 24.193
3036 15022.9 23.971
3037 14838.7 24.234
3038 15001.5 24.318
3039 18052.7 33.031
3040 15028.4 23.793
3041 14868.6 24.184
3042 14899.8 23.809
3043 14793.6 17.959
3044 14927.9 24.089
3045 15019.3 24.126
3046 15341.6 24.478
3047 15245.6 24.499
3048 15083.8 24.266
3049 15088 24.207
3050 14902 24.009
3051 16322.2 25.203
3052 15233.1 24.517
3053 22076.4 31.766
3054 25736.9 38.216
3055 29991.4 25.947
3056 15119.3 24.175
3057 15024.6 24.17
3058 15449.2 24.208
3059 15024.2 24.151
3060 15441.5 18.226
3061 15213.3 18.281
3062 15198.4 24.534
3063 15250.8 24.292
3064 18313.2 68.836
3065 32825 112.239
3066 25279.7 38.269
3067 19392.7 38.209
3068 18969.5 25.459
3069 15651.3 24.661
3070 16286.8 18.948
3071 18555 26.019
3072 15932.3 26.993
3073 31206.9 19.783
3074 16089.5 25.031
3075 17489.6 25.838
3076 34574.5 36.213
3077 24225.2 42.799
3078 30636 25.658
3079 18824.4 25.476
3080 29985.1 37.104
3081 18470.5 25.479
3082 18531.2 24.665
3083 24854.4 34.836
3084 30369.1 97.897
3085 18040.2 25.773
3086 19404.5 19.631
3087 26248.5 25.68
3088 33537.3 63.394
3089 38079.7 38.997
3090 33709.1 25.573
3091 20884.7 26.288
3092 16966.9 28.286
3093 21331.7 27.674
3094 20963.4 38.276
3095 27925.6 34.2
3096 32084.2 45.016
3097 28018.8 25.854
3098 15648.1 38.102
3099 15547.4 18.671
3100 15789.5 25.556
3101 16692.3 24.877
3102 23548.9 33.918
3103 22576 20.437
3104 29573.3 62.111
3105 30907.5 25.335
3106 16766.2 24.324
3107 15592.5 24.378
3108 15571 24.485
3109 15948.7 37.903
3110 19992.4 25.598
3111 15584.2 24.682
3112 16014.3 19.121
3113 16110.8 25.178
3114 15972.2 27.294
3115 17881 28.253
3116 15674.7 25.023
3117 19042.6 33.692
3118 15983.3 24.771
3119 28443.5 30.533
3120 20246.3 35.967
3121 18861.7 27.016
3122 20214.9 34.613
3123 15966.2 24.372
3124 17512.9 26.19
3125 16413.1 25.866
3126 17045.1 19.446
3127 16405.2 25.289
3128 16592.4 26.226
3129 16520.2 26.342
3130 19974 28.364
3131 21241.7 28.661
3132 20609.9 27.693
3133 20788.3 41.681
3134 24990.8 20.966
3135 22534.1 26.278
3136 22890.9 48.295
3137 22281.3 26.249
3138 22075.7 35.957
3139 24985.3 38.954
3140 22627.9 47.992
3141 22201 26.021
3142 25919.3 20.947
3143 19494 20.261
3144 28083.3 39.476
3145 31451.7 36.403
3146 17169.4 27.907
3147 16767.8 26.247
3148 24218.1 36.389
3149 31149.8 32.782
3150 36087.9 36.286
3151 34364.7 42.261
3152 23104.7 26.985
3153 31879.7 37.372
3154 20802.1 26.113
3155 35995.4 79.717
3156 36258.2 37.3
3157 24622.7 29.104
3158 37093.7 41.66
3159 33732.6 42.151
3160 22940.4 21.062
3161 32858.1 29.648
3162 42699.2 43.343
3163 47247.3 65.044
3164 43527.5 97.83
3165 38955.5 28.295
3166 25967.1 37.189
3167 32597.6 34.401
3168 31176.1 39.853
3169 30440 29.552
3170 33495.3 46.116
3171 28219.4 21.688
3172 24666.2 46.233
3173 21445 21.171
3174 22872.2 20.903
3175 19851.8 29.207
3176 24562.8 64.182
3177 25096.6 36.383
3178 19382.6 26.481
3179 28777.2 35.157
3180 20511.8 21.175
3181 22025.9 26.387
3182 19099.5 21.367
3183 27588.8 36.967
3184 19978.5 20.65
3185 17450.8 21.485
3186 18382.2 24.261
3187 18064.7 27.555
3188 17796.4 26.53
3189 17486.9 27.902
3190 28162.8 38.512
3191 18505.1 26.575
3192 18668.3 27.408
3193 24486.1 33.316
3194 21417.3 40.12
3195 21322.7 80.742
3196 30047.1 43.245
3197 27521.2 20.195
3198 18436.2 29.727
3199 17441.3 26.487
3200 17437.5 26.312
3201 17158.7 25.947
3202 17180.5 25.874
3203 17162.2 26.036
3204 17286.2 26.09
3205 19457 29.926
3206 18090.7 26.723
3207 18253.6 26.607
3208 17768.8 20.003
3209 17852.2 26.271
3210 17751.1 20.152
3211 19205 44.777
3212 17904.2 27.118
3213 17262.5 26.189
3214 17497.8 26.339
3215 17152.1 25.747
3216 17164.8 25.908
3217 17343.7 26.109
3218 17278.3 26.588
3219 17263.7 26.17
3220 17413 26.009
3221 17256.1 25.86
3222 17537.2 25.953
3223 17797 26.328
3224 17578.3 38.626
3225 25967 49.414
3226 32483.1 46.269
3227 23598.9 26.065
3228 17396.5 26.216
3229 17676.6 26.556
3230 18964.2 26.108
3231 17902.8 20.134
3232 32214.2 41.07
3233 34973.2 28.26
3234 24649.1 26.039
3235 21221.3 26.588
3236 27511.8 30.222
3237 28325.7 32.188
3238 29693.7 24.013
3239 31916.5 32.59
3240 18313.1 27.231
3241 18955.1 27.165
3242 17638.2 26.278
3243 26630.2 39.605
3244 29432.9 29.284
3245 17866.3 26.226
3246 17752.6 26.944
3247 17874.8 19.893
3248 17833.5 26.717
3249 17717.8 25.568
3250 25701.7 45.682
3251 29660.6 57.789
3252 32020.8 28.31
3253 18307.3 23.625
3254 18358.7 26.406
3255 18324.6 45.904
3256 17995.3 26.145
3257 17707.1 40.154
3258 19536.7 29.621
3259 18164.5 25.845
3260 17729.2 19.754
3261 17793.2 26.222
3262 18285.2 20.709
3263 20066.2 27.71
3264 21440.5 36.57
3265 17676.8 38.37
3266 28755.9 42.658
3267 39522.6 50.762
3268 33060.2 49.359
3269 31320.7 30.783
3270 27801.5 37.336
3271 21868.8 28.288
3272 18662.2 26.553
3273 20614.1 27.18
3274 20828.6 36.728
3275 18021.9 26.568
3276 20607.5 21.344
3277 18332.5 27.952
3278 18057.7 26.608
3279 17944.4 26.33
3280 18071 26.469
3281 18331 21.841
3282 18053.1 26.608
3283 18186.7 27.39
3284 18053.9 26.434
3285 17955.4 26.398
3286 17945.1 26.233
3287 18542.3 26.878
3288 19698.4 37.456
3289 18188.8 26.444
3290 18087.7 26.54
3291 18031.8 26.584
3292 18681.3 36.637
3293 18315.8 26.598
3294 18128.5 26.545
3295 18497 26.881
3296 18272.2 27.487
3297 23904.6 21.575
3298 18356.6 26.834
3299 18360.6 26.569
3300 18104.3 26.423
3301 19789.3 28.967
3302 21380.9 29.247
3303 25708.2 34.724
3304 25642 26.947
3305 18806.4 21.785
3306 18374 26.566
3307 19997.7 26.874
3308 18269.9 26.039
3309 18384.4 26.328
3310 18623.8 26.448
3311 20503.2 36.949
3312 18394.4 26.898
3313 18384 26.909
3314 18434.7 26.513
3315 25963.6 49.206
3316 34580 43.7
3317 29396.1 38.466
3318 28605.1 32.327
3319 37953.3 39.687
3320 33037.3 43.756
3321 24942.8 20.51
3322 24948.7 43.505
3323 34147.6 34.697
3324 21850.9 28.601
3325 33455.6 36.066
3326 21221.3 26.491
3327 18527.3 27.238
3328 18473.7 26.546
3329 19087.5 27.009
3330 28523.4 38.43
3331 30614.9 27.221
3332 30059 43.822
3333 34934.9 26.199
3334 18843.5 26.886
3335 18732.2 26.608
3336 18519.5 27.03
3337 18679.8 26.614
3338 24701.3 27.886
3339 19230.9 27.328
3340 26527.6 39.096
3341 21601.7 26.792
3342 19193.5 26.868
3343 19513.9 27.481
3344 19623.7 27.632
3345 21700.3 27.405
3346 19167.1 27.356
3347 26819.9 42.77
3348 44270.9 34.184
3349 30961.1 22.648
3350 27702.4 21.175
3351 18669.2 26.719
3352 18715.2 26.744
3353 18707.5 26.754
3354 19113.9 30.789
3355 28521.4 60.541
3356 19172.2 27.572
3357 18531 26.544
3358 23036.9 39.889
3359 25049.8 27.019
3360 32621.9 32.885
3361 36595.3 43.827
3362 33954.6 28.708
3363 18976.5 26.943
3364 19063.1 26.989
3365 19011.3 27.407
3366 19388.5 26.812
3367 19319.6 28.513
3368 23256.3 21.474
3369 18977.2 26.985
3370 18933.2 27.367
3371 19091.4 26.745
3372 20116.3 27.673
3373 19695.1 27.573
3374 19361.1 27.989
3375 18966.3 26.574
3376 19267.8 27.04
3377 22192.9 27.534
3378 19004.1 26.706
3379 19145 26.953
3380 18981.9 38.81
3381 18908.7 26.814
3382 20294.5 27.616
3383 19915 27.919
3384 19616.8 28.147
3385 19368.3 27.587
3386 19787.3 22.627
3387 19640.5 27.497
3388 19193 39.125
3389 19193.9 26.572
3390 19257.6 27.153
3391 19589.7 27.937
3392 19201 26.998
3393 24941.5 28.624
3394 19724.9 29.894
3395 20008.1 21.218
3396 19377.3 27.458
3397 19219.4 26.745
3398 19777.3 27.434
3399 19164.4 27.116
3400 33572.2 47.756
3401 28820.9 39.966
3402 25144.5 27.33
3403 19325.2 27.084
3404 27094.8 32.676
3405 19364.2 27.251
3406 19336.6 26.987
3407 19478.3 27.585
3408 20936.1 28.484
3409 19752.5 28.251
3410 19213 27.19
3411 19311.9 26.66
3412 30813.2 43.984
3413 32801.2 21.87
3414 19273.3 27.143
3415 19246 26.882
3416 27892.2 54.774
3417 27754.7 30.777
3418 19525 64.652
3419 20207.3 27.908
3420 26717.6 32.629
3421 25407.8 27.729
3422 19605.7 26.961
3423 19832.5 27.285
3424 19928.7 27.388
3425 19349.5 26.958
3426 19690.6 27.47
3427 20036.7 29.771
3428 22088.7 82.689
3429 19815.9 35.482
3430 19876.1 27.596
3431 19891.4 28.095
3432 19726.6 27.524
3433 19978.1 28.576
3434 19529.1 27.367
3435 19488.7 27.083
3436 19519.5 27.02
3437 24696.4 28.157
3438 19737 27.078
3439 19871.9 27.191
3440 21024.7 29.04
3441 19915.3 39.682
3442 20107 21.547
3443 23958.3 51.446
3444 26065.1 28.039
3445 19766.3 27.791
3446 35186.8 46.476
3447 31236 40.126
3448 38284.2 22.567
3449 19954.1 27.772
3450 27705.5 30.315
3451 30830.8 27.386
3452 20130.1 28.031
3453 34460.5 38.799
3454 33349 23.425
3455 28404.5 58.379
3456 41065.5 37.525
3457 38568.8 28.126
3458 21077.9 27.753
3459 21538 22.302
3460 20062.5 27.912
3461 20160.8 28.045
3462 20541.8 27.704
3463 19879.4 27.442
3464 19926 27.433
3465 20444.4 42.6
3466 23689 38.743
3467 20825.5 22.023
3468 20024.5 27.41
3469 20369.2 27.841
3470 20784.3 27.778
3471 20483.2 28.899
3472 20038.7 27.399
3473 20238.5 27.259
3474 19993.6 27.819
3475 21324.3 40.723
3476 21665.6 28.5
3477 20165.2 27.82
3478 20130.8 21.223
3479 20169.9 27.816
3480 20703.1 27.788
3481 20154.6 28.386
3482 20770.2 42.496
3483 23545.6 49.875
3484 30074.5 46.646
3485 22333 28.282
3486 22875.2 30.186
3487 20752.7 29.261
3488 20596.3 40.163
3489 20231.4 35.651
3490 20413.9 27.097
3491 20467.4 27.467
3492 20255.9 28.029
3493 20566.4 27.352
3494 20364.5 40.448
3495 20341.3 27.929
3496 20198.5 27.816
3497 20377.4 27.573
3498 20240.4 27.946
3499 20996.7 28.157
3500 20899.3 28.04
3501 21245.7 28.239
3502 20929.2 27.594
3503 20829.3 27.851
3504 20398.3 27.581
3505 20898.4 28.206
3506 20432.9 27.709
3507 26372.7 71.437
3508 25259.4 29.192
3509 22172.7 27.627
3510 20647.4 27.711
3511 22116.7 28.759
3512 20747.1 27.651
3513 20856.5 22.568
3514 20492.4 27.916
3515 20638 27.754
3516 22092.2 28.914
3517 21012.6 28.31
3518 20717.2 27.703
3519 31749.2 43.273
3520 34390.8 30.707
3521 21380.6 28.158
3522 20607.8 27.803
3523 20781 28.143
3524 20501.3 27.731
3525 26480 32.766
3526 20752.8 27.866
3527 21289.8 45.001
3528 29152.6 37.475
3529 21630.8 40.088
3530 21649.3 29.351
3531 24387.4 31.346
3532 20917.9 28.302
3533 20645.9 27.636
3534 25879 28.714
3535 21666.2 27.98
3536 20851.9 27.595
3537 20823.2 28.342
3538 20693.6 27.807
3539 20863.8 27.691
3540 47968.3 44.4
3541 25714.7 61.8
3542 24133.2 23.336
3543 22739.6 27.927
3544 21952.6 28.799
3545 21026.7 27.538
3546 39508.7 68.534
3547 33926.3 35.256
3548 22736.7 21.621
3549 20822.6 28.458
3550 20702.3 27.851
3551 21502 46.129
3552 25191.4 89.367
3553 21065.2 29.651
3554 20968.1 28.173
3555 21048.5 27.958
3556 22692.2 30.771
3557 21706.5 22.148
3558 21516 28.714
3559 21171.6 27.968
3560 21318.7 27.926
3561 21876.5 28.989
3562 21238.4 22.254
3563 21046.9 28.39
3564 20987.4 28.381
3565 21629.8 28.784
3566 25587.8 38.688
3567 21202.9 28.571
3568 21362.4 28.699
3569 25192.9 28.968
3570 21154.4 28.759
3571 25498.3 47.338
3572 21340.3 28.8
3573 21546.5 28.268
3574 22156.8 29.866
3575 22177.4 28.678
3576 21456 28.249
3577 21304.8 27.919
3578 21157.9 27.978
3579 21223.7 28.008
3580 22817.6 29.175
3581 26093.7 131.371
3582 24552.5 57.071
3583 24310.2 28.344
3584 21448.8 30.389
3585 21907.4 22.195
3586 21381.5 28.411
3587 21307.7 27.943
3588 21441.9 28.147
3589 25725.6 39.305
3590 37608.9 42.686
3591 41566.1 41.478
3592 40397 33.719
3593 35139.1 42.17
3594 32533.1 29.513
3595 25222.6 32.454
3596 22666.6 28.823
3597 22187.6 29.65
3598 21651.6 28.539
3599 21504.9 28.224
3600 21528.2 28.343
3601 22096.1 28.62
3602 21739 28.807
3603 21924.5 28.008
3604 21523.2 27.793
3605 21426.5 28.621
3606 21984.2 28.508
3607 21699.5 28.342
3608 22105.8 30.123
3609 23047.4 28.914
3610 21656.3 23.58
3611 24746.2 39.808
3612 22570.2 28.731
3613 21956.6 28.503
3614 22010.7 40.662
3615 25622.6 44.924
3616 28660.8 25.414
3617 43454.4 40.708
3618 31627.8 62.846
3619 26668.5 29.743
3620 25115.9 28.832
3621 26353.8 39.742
3622 24686.9 39.048
3623 22622.8 28.622
3624 21975.8 28.398
3625 21939.8 28.406
3626 22234.6 28.481
3627 22523.6 28.631
3628 41608.5 32.914
3629 29926.4 51.669
3630 29401.9 30.172
3631 21985.8 30.263
3632 23963.1 32.258
3633 22178 28.529
3634 35424.4 24.45
3635 22384.3 29.437
3636 22458.9 23.178
3637 22220.7 28.737
3638 29674.9 38.187
3639 28620.9 22.777
3640 22438.6 28.394
3641 22860.5 28.533
3642 22444.9 28.767
3643 22228.2 28.533
3644 22313.7 29.382
3645 23324.4 28.796
3646 22141.4 28.515
3647 33768.4 31.429
3648 22935.5 31.454
3649 23023.4 29.368
3650 22190.1 28.226
3651 27209.1 119.983
3652 22468.6 29.543
3653 22441 28.471
3654 22423.8 28.841
3655 22376.2 28.677
3656 23483.8 31.065
3657 23117.1 29.348
3658 23076.6 28.831
3659 22399.4 29.192
3660 22430.5 28.853
3661 22514.2 28.635
3662 22355.4 28.811
3663 27251.6 22.683
3664 22608.3 28.996
3665 22649 28.773
3666 22544.7 28.893
3667 22519.8 28.721
3668 22536.2 28.954
3669 22407.5 37.31
3670 22597.4 29.136
3671 22753.4 29.358
3672 22881 29.047
3673 22347.9 28.946
3674 23714.9 40.592
3675 29366.7 24.539
3676 29849.1 48.281
3677 44621.4 46.205
3678 29840.1 30.379
3679 23320.2 29.414
3680 23434.1 29.943
3681 22596.4 28.836
3682 26113.4 39.614
3683 23069.5 29.944
3684 22494.5 28.698
3685 22778.2 28.934
3686 23235.3 52.026
3687 33113.4 38.786
3688 27249.4 29.108
3689 23430 28.619
3690 26944.3 42.543
3691 24073.8 28.995
3692 22757.2 29.51
3693 22867.6 28.932
3694 22946.3 28.863
3695 23605.3 30.749
3696 23479.8 48.43
3697 22774.3 28.744
