Erase_Index Worst_Case_Time(us) Best_Case_Time(us)
79641 142.967 0.07
79640 149.481 0.068
79639 142.971 0.076
79638 143.188 0.069
79637 142.988 0.08
79636 143.516 0.072
79635 149.125 0.079
79634 143.357 0.077
79633 142.836 0.072
79632 367.01 0.069
79631 143.395 0.073
79630 149.43 0.08
79629 143.214 0.073
79628 143.369 0.073
79627 143.094 0.071
79626 143.085 0.078
79625 142.901 0.069
79624 142.833 0.071
79623 142.757 0.07
79622 143.104 0.068
79621 142.903 0.073
79620 143.061 0.078
79619 153.217 0.074
79618 143.055 0.07
79617 142.757 0.076
79616 143.418 0.069
79615 163.211 0.068
79614 143.169 0.068
79613 143.041 0.08
79612 143.029 0.075
79611 143.029 0.068
79610 181.211 0.096
79609 184.077 0.069
79608 143.678 0.072
79607 142.829 0.07
79606 143.012 0.072
79605 143.104 0.073
79604 142.819 0.073
79603 169.896 0.107
79602 145.169 0.073
79601 143.811 0.069
79600 144.588 0.086
79599 144.062 0.077
79598 143.434 0.068
79597 144.147 0.074
79596 143.524 0.069
79595 143.981 0.073
79594 331.056 0.071
79593 143.91 0.082
79592 152.778 0.07
79591 186.36 0.07
79590 169.589 0.074
79589 171.995 0.075
79588 144.39 0.069
79587 143.728 0.075
79586 143.987 0.069
79585 143.779 0.07
79584 149.455 0.189
79583 144.317 0.075
79582 153.899 0.068
79581 144.203 0.072
79580 179.984 0.073
79579 172.161 0.071
79578 144.104 0.071
79577 143.894 0.066
79576 158.924 0.07
79575 144.178 0.076
79574 144.081 0.073
79573 143.879 0.073
79572 143.746 0.07
79571 248.854 0.099
79570 200.098 0.072
79569 144.545 0.071
79568 143.797 0.071
79567 143.551 0.069
79566 193.216 0.066
79565 143.159 0.077
79564 143.067 0.076
79563 142.867 0.086
79562 142.754 0.07
79561 142.717 0.069
79560 142.655 0.071
79559 142.975 0.07
79558 142.822 0.076
79557 142.883 0.083
79556 143.001 0.077
79555 153.295 0.075
79554 149.244 0.081
79553 142.786 0.074
79552 142.944 0.068
79551 142.682 0.072
79550 142.887 0.069
79549 142.922 0.083
79548 143.133 0.08
79547 143.07 0.076
79546 184.866 0.096
79545 145.632 0.076
79544 143.597 0.064
79543 143.805 0.078
79542 163.418 0.078
79541 143.225 0.064
79540 142.856 0.071
79539 247.597 0.069
79538 198.956 0.066
79537 147.722 0.082
79536 143.218 0.078
79535 143.25 0.075
79534 143.085 0.071
79533 143.034 0.073
79532 162.73 0.069
79531 142.899 0.07
79530 142.91 0.08
79529 142.863 0.071
79528 142.802 0.07
79527 142.774 0.068
79526 142.907 0.069
79525 142.899 0.08
79524 149.006 0.069
79523 143.066 0.064
79522 143.203 0.069
79521 166.977 0.071
79520 143.255 0.063
79519 142.766 0.079
79518 142.873 0.069
79517 142.658 0.068
79516 142.962 0.069
79515 326.548 0.07
79514 175.379 0.061
79513 205.167 0.092
79512 144.596 0.07
79511 163.829 0.068
79510 142.765 0.07
79509 142.939 0.071
79508 142.66 0.068
79507 142.633 0.07
79506 143.055 0.072
79505 142.727 0.07
79504 143.026 0.068
79503 142.723 0.068
79502 146.99 0.085
79501 176.796 0.075
79500 142.878 0.065
79499 142.634 0.068
79498 142.91 0.069
79497 142.622 0.084
79496 143.029 0.068
79495 142.676 0.066
79494 142.878 0.072
79493 142.618 0.07
79492 142.911 0.07
79491 142.601 0.071
79490 143.062 0.068
79489 171.637 0.102
79488 143.152 0.082
79487 142.771 0.066
79486 150.131 0.079
79485 143.289 0.074
79484 143.788 0.085
79483 165.196 0.076
79482 147.316 0.072
79481 142.647 0.069
79480 142.789 0.069
79479 142.954 0.07
79478 143.1 0.08
79477 143.049 0.067
79476 142.97 0.069
79475 143.053 0.072
79474 157.679 0.068
79473 142.966 0.069
79472 142.867 0.075
79471 142.623 0.068
79470 149.075 0.069
79469 142.533 0.07
79468 143.044 0.07
79467 142.887 0.073
79466 142.902 0.07
79465 142.878 0.069
79464 142.805 0.069
79463 142.746 0.073
79462 143.067 0.071
79461 142.691 0.081
79460 157.171 0.072
79459 171.878 0.094
79458 162.571 0.078
79457 157.553 0.07
79456 162.753 0.069
79455 142.559 0.07
79454 142.477 0.079
79453 142.531 0.072
79452 142.794 0.07
79451 142.371 0.08
79450 142.576 0.082
79449 142.427 0.069
79448 142.715 0.077
79447 142.914 0.068
79446 142.723 0.071
79445 142.647 0.075
79444 142.857 0.072
79443 142.896 0.068
79442 142.581 0.07
79441 142.652 0.069
79440 143.086 0.071
79439 142.575 0.075
79438 142.729 0.076
79437 142.604 0.076
79436 142.894 0.074
79435 143.013 0.072
79434 142.833 0.07
79433 142.604 0.066
79432 264.788 0.085
79431 234.531 0.081
79430 164.174 0.069
79429 142.931 0.071
79428 142.926 0.078
79427 142.701 0.071
79426 142.775 0.069
79425 142.685 0.069
79424 142.423 0.072
79423 142.642 0.071
79422 142.57 0.073
79421 142.559 0.069
79420 142.599 0.07
79419 142.613 0.071
79418 162.592 0.078
79417 142.573 0.07
79416 142.536 0.068
79415 148.748 0.067
79414 142.399 0.069
79413 142.459 0.07
79412 142.629 0.067
79411 142.871 0.07
79410 142.56 0.066
79409 142.613 0.073
79408 142.856 0.071
79407 142.553 0.068
79406 142.559 0.072
79405 142.607 0.08
79404 142.517 0.064
79403 142.827 0.067
79402 142.447 0.067
79401 142.861 0.07
79400 142.66 0.071
79399 142.725 0.07
79398 142.385 0.068
79397 142.801 0.069
79396 143.498 0.054
79395 143.299 0.055
79394 142.647 0.072
79393 142.305 0.08
79392 183.966 0.071
79391 142.682 0.075
79390 142.383 0.071
79389 142.432 0.07
79388 142.651 0.068
79387 142.454 0.074
79386 142.73 0.07
79385 152.721 0.075
79384 142.765 0.068
79383 142.62 0.075
79382 142.692 0.072
79381 142.469 0.07
79380 142.544 0.072
79379 142.807 0.07
79378 142.687 0.07
79377 142.519 0.071
79376 142.522 0.071
79375 142.52 0.066
79374 142.685 0.068
79373 142.29 0.072
79372 142.468 0.067
79371 142.452 0.074
79370 142.676 0.071
79369 142.52 0.069
79368 142.586 0.068
79367 142.788 0.07
79366 142.778 0.071
79365 142.546 0.068
79364 186.753 0.066
79363 208.775 0.081
79362 143.535 0.065
79361 142.984 0.072
79360 142.627 0.069
79359 142.519 0.072
79358 142.456 0.068
79357 142.535 0.068
79356 142.682 0.077
79355 142.461 0.068
79354 142.536 0.073
79353 285.29 0.08
79352 142.881 0.075
79351 148.412 0.069
79350 142.358 0.068
79349 142.789 0.069
79348 142.688 0.071
79347 142.531 0.069
79346 142.567 0.072
79345 142.32 0.071
79344 143.079 0.069
79343 142.683 0.08
79342 142.607 0.079
79341 142.295 0.069
79340 142.6 0.068
79339 142.432 0.072
79338 142.652 0.075
79337 142.774 0.07
79336 143.082 0.078
79335 142.509 0.064
79334 142.871 0.07
79333 191.475 0.073
79332 142.57 0.071
79331 143.08 0.077
79330 143.166 0.077
79329 250.791 0.088
79328 143.489 0.07
79327 143.281 0.071
79326 142.819 0.08
79325 142.598 0.07
79324 142.543 0.076
79323 142.454 0.076
79322 142.389 0.076
79321 153.32 0.068
79320 142.584 0.074
79319 142.496 0.071
79318 142.63 0.073
79317 142.328 0.072
79316 142.765 0.068
79315 142.474 0.076
79314 142.534 0.075
79313 142.519 0.077
79312 142.331 0.071
79311 142.418 0.069
79310 142.41 0.069
79309 142.63 0.078
79308 142.6 0.077
79307 143.298 0.08
79306 142.473 0.065
79305 142.431 0.07
79304 197.861 0.101
79303 149.525 0.085
79302 142.824 0.07
79301 142.36 0.073
79300 142.463 0.067
79299 142.309 0.073
79298 142.588 0.064
79297 142.363 0.071
79296 142.69 0.072
79295 142.359 0.069
79294 142.47 0.07
79293 142.33 0.076
79292 142.722 0.07
79291 142.478 0.071
79290 142.272 0.069
79289 142.351 0.074
79288 142.526 0.07
79287 142.707 0.068
79286 162.942 0.071
79285 142.4 0.07
79284 142.317 0.073
79283 142.373 0.073
79282 142.26 0.07
79281 142.425 0.067
79280 142.102 0.075
79279 142.369 0.071
79278 142.34 0.07
79277 142.194 0.071
79276 142.423 0.068
79275 142.326 0.069
79274 142.293 0.068
79273 142.406 0.072
79272 142.437 0.069
79271 142.429 0.07
79270 142.479 0.092
79269 260.298 0.071
79268 143.058 0.071
79267 142.206 0.071
79266 142.37 0.071
79265 146.062 0.071
79264 142.783 0.069
79263 142.249 0.069
79262 142.568 0.07
79261 142.244 0.072
79260 142.411 0.072
79259 142.241 0.068
79258 142.402 0.072
79257 142.421 0.072
79256 142.614 0.072
79255 142.158 0.08
79254 153.012 0.073
79253 142.586 0.073
79252 142.482 0.066
79251 142.282 0.071
79250 142.364 0.068
79249 142.511 0.074
79248 142.649 0.078
79247 142.549 0.071
79246 142.711 0.069
79245 142.228 0.082
79244 142.516 0.068
79243 142.155 0.078
79242 142.456 0.071
79241 176.422 0.161
79240 142.786 0.072
79239 142.398 0.07
79238 142.23 0.067
79237 142.463 0.069
79236 142.22 0.07
79235 142.11 0.071
79234 148.642 0.08
79233 142.284 0.067
79232 142.404 0.071
79231 142.114 0.069
79230 142.441 0.072
79229 142.2 0.069
79228 142.631 0.079
79227 148.065 0.08
79226 142.348 0.071
79225 142.249 0.073
79224 142.55 0.069
79223 142.094 0.08
79222 142.307 0.065
79221 141.955 0.072
79220 142.206 0.074
79219 142.09 0.07
79218 142.403 0.076
79217 142.018 0.069
79216 142.164 0.078
79215 142.229 0.072
79214 142.529 0.068
79213 231.057 0.066
79212 142.447 0.068
79211 142.128 0.078
79210 142.377 0.068
79209 142.169 0.068
79208 142.669 0.073
79207 142.06 0.066
79206 142.399 0.068
79205 142.057 0.068
79204 142.493 0.067
79203 142.314 0.072
79202 142.19 0.078
79201 148.56 0.08
79200 142.346 0.076
79199 142.161 0.064
79198 142.194 0.068
79197 142.193 0.068
79196 142.415 0.07
79195 142.198 0.063
79194 142.376 0.078
79193 142.378 0.07
79192 142.152 0.062
79191 142.161 0.079
79190 142.297 0.08
79189 145.567 0.068
79188 142.498 0.07
79187 148.656 0.069
79186 142.294 0.072
79185 334.881 0.064
79184 143.149 0.071
79183 142.854 0.076
79182 142.245 0.073
79181 142.109 0.07
79180 142.304 0.069
79179 142.216 0.068
79178 142.562 0.069
79177 163.054 0.069
79176 142.531 0.069
79175 142.201 0.071
79174 142.239 0.076
79173 142.215 0.072
79172 142.733 0.075
79171 142.036 0.076
79170 142.366 0.068
79169 142.155 0.075
79168 142.219 0.069
79167 142.213 0.074
79166 142.149 0.072
79165 142.278 0.077
79164 142.537 0.066
79163 142.166 0.071
79162 142.222 0.07
79161 142.147 0.065
79160 366.724 0.07
79159 142.445 0.076
79158 142.265 0.073
79157 142.152 0.07
79156 159.298 0.075
79155 142.081 0.069
79154 142.353 0.07
79153 142.225 0.069
79152 142.222 0.082
79151 142.219 0.07
79150 142.153 0.078
79149 142.177 0.082
79148 142.431 0.068
79147 141.87 0.067
79146 142.223 0.072
79145 141.985 0.073
79144 142.597 0.078
79143 161.403 0.069
79142 142.247 0.071
79141 141.949 0.067
79140 142.299 0.072
79139 142.039 0.077
79138 142.218 0.08
79137 142.153 0.08
79136 142.166 0.081
79135 142.271 0.07
79134 142.401 0.082
79133 142.176 0.066
79132 142.333 0.075
79131 183.478 0.09
79130 142.29 0.059
79129 143.211 0.079
79128 142.133 0.078
79127 142.019 0.071
79126 142.493 0.07
79125 142.604 0.073
79124 142.247 0.068
79123 142.038 0.066
79122 142.189 0.071
79121 141.88 0.073
79120 142.229 0.068
79119 142.299 0.07
79118 142.433 0.067
79117 142.173 0.068
79116 148.501 0.07
79115 142.001 0.069
79114 142.133 0.068
79113 141.84 0.064
79112 142.208 0.071
79111 142.043 0.07
79110 142.163 0.076
79109 142.131 0.07
79108 141.895 0.075
79107 141.911 0.071
79106 142.187 0.065
79105 142.454 0.069
79104 142.221 0.07
79103 146.971 0.059
79102 142.046 0.068
79101 142.127 0.068
79100 142.334 0.07
79099 141.953 0.078
79098 141.986 0.07
79097 141.87 0.076
79096 142.095 0.069
79095 142.138 0.08
79094 152.848 0.071
79093 148.56 0.068
79092 142.326 0.082
79091 142.109 0.072
79090 142.055 0.067
79089 142.286 0.071
79088 142.284 0.069
79087 141.79 0.082
79086 142.387 0.07
79085 141.992 0.078
79084 141.979 0.071
79083 142.189 0.071
79082 142.38 0.08
79081 142.138 0.071
79080 142.151 0.071
79079 141.806 0.078
79078 141.977 0.07
79077 141.887 0.072
79076 142.189 0.08
79075 145.655 0.057
79074 142.379 0.056
79073 148.543 0.069
79072 142.247 0.072
79071 199.802 0.066
79070 142.006 0.072
79069 141.831 0.068
79068 141.974 0.072
79067 141.983 0.071
79066 142.174 0.08
79065 141.963 0.07
79064 142.028 0.069
79063 142.092 0.081
79062 142.296 0.068
79061 141.832 0.069
79060 142.095 0.08
79059 141.712 0.077
79058 142.05 0.069
79057 141.935 0.07
79056 142.028 0.068
79055 141.958 0.079
79054 150.358 0.079
79053 142.119 0.068
79052 141.986 0.068
79051 142.152 0.07
79050 142.531 0.069
79049 142.151 0.074
79048 142.223 0.068
79047 236.884 0.106
79046 176.028 0.078
79045 142.349 0.071
79044 142.147 0.07
79043 141.76 0.072
79042 141.923 0.073
79041 141.843 0.069
79040 142.106 0.08
79039 141.868 0.076
79038 142.133 0.071
79037 142.099 0.071
79036 169.867 0.075
79035 142.066 0.071
79034 142.095 0.084
79033 141.77 0.069
79032 142.223 0.07
79031 141.901 0.07
79030 141.923 0.07
79029 141.902 0.071
79028 142.095 0.069
79027 141.829 0.064
79026 141.883 0.069
79025 148.398 0.07
79024 142.265 0.071
79023 142.345 0.069
79022 141.904 0.084
79021 141.86 0.07
79020 141.745 0.072
79019 141.875 0.069
79018 141.814 0.069
79017 183.644 0.075
79016 142.272 0.069
79015 142.163 0.075
79014 141.867 0.068
79013 142.029 0.068
79012 141.788 0.068
79011 142.192 0.07
79010 141.836 0.071
79009 147.992 0.074
79008 142.215 0.067
79007 148.241 0.076
79006 141.989 0.075
79005 141.88 0.069
79004 141.868 0.069
79003 141.749 0.067
79002 148.123 0.072
79001 141.904 0.068
79000 141.816 0.068
78999 141.823 0.075
78998 142.027 0.065
78997 141.67 0.068
78996 142.016 0.068
78995 141.746 0.081
78994 141.95 0.074
78993 142.335 0.075
78992 141.919 0.066
78991 141.808 0.069
78990 189.828 0.073
78989 142.377 0.068
78988 142.051 0.069
78987 141.734 0.071
78986 142.141 0.075
78985 141.795 0.068
78984 142.221 0.073
78983 141.673 0.068
78982 191.243 0.068
78981 142.217 0.066
78980 142.008 0.069
78979 141.704 0.075
78978 142.045 0.077
78977 142.291 0.07
78976 142.047 0.083
78975 142.035 0.068
78974 141.942 0.068
78973 141.713 0.067
78972 141.801 0.069
78971 141.766 0.068
78970 152.63 0.07
78969 141.794 0.068
78968 141.944 0.073
78967 141.953 0.068
78966 141.692 0.076
78965 141.867 0.066
78964 143.331 0.069
78963 141.836 0.069
78962 142.45 0.077
78961 142.194 0.068
78960 142.338 0.071
78959 141.801 0.083
78958 141.941 0.079
78957 141.673 0.085
78956 142.234 0.068
78955 141.912 0.068
78954 142.299 0.07
78953 141.759 0.073
78952 141.825 0.071
78951 141.588 0.069
78950 141.828 0.068
78949 141.668 0.071
78948 142.137 0.07
78947 141.645 0.079
78946 142.007 0.074
78945 142.076 0.075
78944 142.104 0.068
78943 141.589 0.073
78942 141.901 0.07
78941 152.572 0.069
78940 141.844 0.078
78939 141.904 0.066
78938 141.922 0.065
78937 141.859 0.073
78936 141.802 0.069
78935 141.803 0.069
78934 223.232 0.085
78933 142.085 0.063
78932 141.735 0.07
78931 141.945 0.07
78930 141.62 0.068
78929 161.684 0.067
78928 141.817 0.08
78927 141.68 0.075
78926 141.746 0.071
78925 141.764 0.071
78924 142.001 0.072
78923 141.606 0.07
78922 141.797 0.069
78921 141.619 0.069
78920 141.772 0.068
78919 141.397 0.075
78918 141.702 0.073
78917 141.567 0.07
78916 142.082 0.062
78915 141.6 0.078
78914 141.737 0.071
78913 152.396 0.065
78912 141.736 0.083
78911 142.05 0.07
78910 141.713 0.072
78909 141.918 0.078
78908 142.085 0.072
78907 141.997 0.071
78906 142.158 0.072
78905 142.224 0.064
78904 141.715 0.074
78903 141.753 0.079
78902 141.601 0.075
78901 141.475 0.077
78900 141.824 0.073
78899 141.454 0.069
78898 141.547 0.079
78897 141.477 0.065
78896 141.828 0.064
78895 141.732 0.073
78894 141.913 0.081
78893 141.588 0.075
78892 141.936 0.079
78891 141.608 0.076
78890 141.622 0.075
78889 141.402 0.076
78888 141.678 0.078
78887 141.616 0.076
78886 141.76 0.068
78885 141.484 0.07
78884 141.642 0.075
78883 141.689 0.064
78882 141.927 0.068
78881 141.383 0.078
78880 141.808 0.062
78879 238.612 0.068
78878 141.857 0.067
78877 141.996 0.068
78876 141.921 0.07
78875 141.886 0.072
78874 141.89 0.073
78873 141.458 0.072
78872 141.591 0.07
78871 141.547 0.07
78870 141.994 0.068
78869 141.761 0.069
78868 141.787 0.07
78867 141.473 0.07
78866 141.65 0.071
78865 147.243 0.065
78864 141.536 0.066
78863 141.834 0.08
78862 141.827 0.069
78861 141.487 0.069
78860 141.746 0.072
78859 162.811 0.068
78858 141.613 0.072
78857 202.971 0.075
78856 142.073 0.071
78855 141.948 0.074
78854 142.027 0.069
78853 141.549 0.07
78852 141.876 0.067
78851 141.342 0.072
78850 141.444 0.068
78849 141.477 0.07
78848 151.438 0.068
78847 142.031 0.078
78846 199.033 0.099
78845 207.707 0.082
78844 205.527 0.1
78843 210.916 0.093
78842 205.948 0.101
78841 206.652 0.089
78840 206.101 0.103
78839 201.407 0.098
78838 206.728 0.087
78837 203.671 0.096
78836 206.069 0.089
78835 214.592 0.101
78834 205.163 0.097
78833 205.82 0.083
78832 198.611 0.099
78831 200.834 0.098
78830 205.989 0.1
78829 204.376 0.086
78828 205.836 0.101
78827 205.943 0.101
78826 207.761 0.092
78825 205.324 0.083
78824 202.052 0.101
78823 203.904 0.092
78822 203.995 0.085
78821 207.019 0.108
78820 197.274 0.097
78819 202.916 0.097
78818 194.848 0.098
78817 195.698 0.097
78816 195.128 0.083
78815 199.486 0.085
78814 205.447 0.088
78813 196.713 0.091
78812 200.411 0.094
78811 195.927 0.1
78810 217.842 0.087
78809 144.997 0.083
78808 160.686 0.07
78807 141.595 0.073
78806 141.696 0.078
78805 141.427 0.08
78804 141.694 0.072
78803 141.421 0.078
78802 141.643 0.069
78801 141.611 0.072
78800 141.434 0.075
78799 141.33 0.08
78798 141.578 0.066
78797 141.306 0.07
78796 141.575 0.067
78795 141.279 0.076
78794 141.505 0.068
78793 141.323 0.079
78792 141.879 0.08
78791 141.547 0.072
78790 141.564 0.067
78789 141.289 0.069
78788 141.815 0.074
78787 141.573 0.069
78786 141.555 0.07
78785 141.1 0.077
78784 141.591 0.069
78783 141.274 0.063
78782 141.294 0.078
78781 141.878 0.08
78780 141.852 0.08
78779 171.904 0.068
78778 142.27 0.07
78777 141.865 0.065
78776 233.921 0.083
78775 150.011 0.069
78774 142.06 0.071
78773 142.264 0.069
78772 141.624 0.072
78771 141.212 0.069
78770 141.529 0.08
78769 141.498 0.071
78768 141.771 0.069
78767 141.52 0.068
78766 141.544 0.07
78765 141.527 0.072
78764 141.551 0.069
78763 141.286 0.074
78762 141.793 0.076
78761 141.101 0.069
78760 141.861 0.068
78759 141.318 0.071
78758 141.624 0.08
78757 141.466 0.075
78756 141.474 0.072
78755 141.298 0.075
78754 141.443 0.065
78753 141.467 0.078
78752 141.408 0.067
78751 141.323 0.071
78750 141.433 0.072
78749 141.26 0.078
78748 141.601 0.072
78747 141.677 0.066
78746 141.525 0.071
78745 141.38 0.077
78744 141.583 0.068
78743 183.675 0.116
78742 177.052 0.07
78741 141.997 0.07
78740 141.71 0.068
78739 141.506 0.068
78738 141.543 0.07
78737 141.301 0.069
78736 141.539 0.084
78735 141.577 0.071
78734 141.694 0.069
78733 144.925 0.084
78732 141.673 0.068
78731 141.526 0.084
78730 141.757 0.067
78729 141.495 0.071
78728 141.5 0.068
78727 141.59 0.068
78726 141.564 0.083
78725 141.411 0.073
78724 141.562 0.083
78723 141.454 0.076
78722 141.559 0.086
78721 141.347 0.069
78720 141.422 0.071
78719 141.253 0.07
78718 141.711 0.072
78717 141.357 0.067
78716 141.667 0.067
78715 141.438 0.073
78714 246.42 0.079
78713 142.263 0.071
78712 148.157 0.068
78711 141.416 0.078
78710 141.139 0.07
78709 141.403 0.07
78708 141.654 0.072
78707 141.326 0.07
78706 141.359 0.068
78705 141.479 0.068
78704 141.243 0.068
78703 141.277 0.082
78702 141.46 0.075
78701 141.59 0.068
78700 141.376 0.069
78699 141.5 0.068
78698 141.678 0.075
78697 141.241 0.069
78696 141.502 0.069
78695 141.382 0.068
78694 141.746 0.07
78693 141.364 0.066
78692 141.435 0.069
78691 166.079 0.076
78690 141.279 0.069
78689 141.611 0.065
78688 141.991 0.081
78687 141.238 0.069
78686 141.56 0.068
78685 184.965 0.101
78684 142.26 0.076
78683 141.378 0.063
78682 141.393 0.069
78681 141.396 0.076
78680 141.411 0.074
78679 147.256 0.088
78678 141.562 0.065
78677 141.431 0.071
78676 141.338 0.068
78675 141.249 0.072
78674 141.272 0.066
78673 174.115 0.074
78672 191.806 0.072
78671 141.337 0.067
78670 141.422 0.071
78669 141.217 0.07
78668 141.528 0.069
78667 141.534 0.07
78666 141.391 0.085
78665 141.544 0.077
78664 141.641 0.069
78663 147.47 0.067
78662 141.334 0.069
78661 141.085 0.07
78660 141.475 0.086
78659 141.164 0.07
78658 141.432 0.069
78657 160.64 0.068
78656 141.612 0.078
78655 169.448 0.083
78654 141.494 0.082
78653 141.466 0.069
78652 141.267 0.07
78651 141.125 0.084
78650 141.515 0.07
78649 141.376 0.071
78648 141.349 0.068
78647 147.556 0.071
78646 141.362 0.073
78645 141.141 0.072
78644 141.644 0.066
78643 141.347 0.07
78642 141.928 0.07
78641 141.288 0.073
78640 141.495 0.071
78639 141.198 0.071
78638 141.192 0.07
78637 141.352 0.075
78636 141.363 0.074
78635 141.328 0.085
78634 141.338 0.076
78633 141.229 0.081
78632 141.118 0.071
78631 141.294 0.065
78630 141.181 0.07
78629 198.494 0.104
78628 209.061 0.066
78627 161.398 0.07
78626 147.61 0.075
78625 141.295 0.068
78624 141.164 0.078
78623 140.991 0.07
78622 140.875 0.069
78621 169.311 0.071
78620 141.082 0.072
78619 140.948 0.064
78618 140.908 0.073
78617 141.119 0.072
78616 141.167 0.078
78615 140.907 0.071
78614 151.638 0.068
78613 141.147 0.069
78612 141.056 0.076
78611 141.282 0.069
78610 141.11 0.071
78609 141.288 0.07
78608 141.392 0.072
78607 140.981 0.071
78606 141.007 0.071
78605 141.136 0.073
78604 141.282 0.07
78603 141.009 0.072
78602 141.156 0.069
78601 141.349 0.073
78600 141.067 0.072
78599 141.069 0.071
78598 141.282 0.072
78597 140.89 0.07
78596 202.434 0.288
78595 176.077 0.068
78594 143.05 0.068
78593 141.712 0.068
78592 141.277 0.072
78591 140.964 0.069
78590 141.26 0.07
78589 141.194 0.07
78588 141.39 0.082
78587 140.919 0.07
78586 141.504 0.07
78585 141.144 0.069
78584 141.366 0.071
78583 141.194 0.072
78582 141.086 0.07
78581 141.116 0.069
78580 141.297 0.074
78579 140.973 0.074
78578 186.937 0.074
78577 141.394 0.071
78576 141.164 0.083
78575 141.156 0.071
78574 141.238 0.07
78573 141.255 0.069
78572 141.18 0.069
78571 141.176 0.069
78570 141.306 0.068
78569 141.098 0.084
78568 141.175 0.069
78567 141.33 0.071
78566 247.025 0.06
78565 141.972 0.068
78564 141.328 0.07
78563 141.001 0.063
78562 141.139 0.07
78561 141.147 0.069
78560 141.111 0.068
78559 141.408 0.071
78558 141.432 0.068
78557 141.008 0.068
78556 141.194 0.075
78555 140.96 0.07
78554 141.059 0.067
78553 140.917 0.07
78552 147.288 0.08
78551 140.795 0.069
78550 141.475 0.068
78549 141.255 0.068
78548 141.072 0.082
78547 140.924 0.068
78546 141.206 0.068
78545 141.064 0.073
78544 141.05 0.069
78543 141.403 0.068
78542 141.171 0.067
78541 151.591 0.069
78540 147.402 0.065
78539 210.715 0.068
78538 206.453 0.065
78537 202.51 0.073
78536 141.809 0.073
78535 141.068 0.072
78534 143.295 0.084
78533 141.279 0.086
78532 140.863 0.069
78531 141.192 0.081
78530 140.958 0.071
78529 140.966 0.087
78528 140.912 0.069
78527 141.224 0.07
78526 140.947 0.069
78525 141.444 0.075
78524 148.313 0.069
78523 141.076 0.071
78522 141.401 0.068
78521 140.896 0.069
78520 141.077 0.068
78519 141.276 0.067
78518 141.026 0.07
78517 154.644 0.078
78516 142.661 0.068
78515 141.105 0.069
78514 141.036 0.067
78513 141.108 0.068
78512 140.898 0.075
78511 141.02 0.069
78510 209.044 0.2
78509 149.729 0.066
78508 183.772 0.068
78507 141.404 0.071
78506 141.319 0.069
78505 162.63 0.071
78504 141.085 0.072
78503 141.303 0.074
78502 141.65 0.068
78501 141.166 0.063
78500 141.064 0.073
78499 141.057 0.075
78498 140.977 0.074
78497 140.965 0.07
78496 141.09 0.07
78495 141.072 0.075
78494 141.027 0.07
78493 140.813 0.07
78492 141.151 0.068
78491 141.27 0.069
78490 141.058 0.074
78489 140.917 0.069
78488 140.914 0.068
78487 140.82 0.067
78486 141.154 0.071
78485 140.846 0.069
78484 140.858 0.07
78483 150.651 0.068
78482 235.504 0.1
78481 171.621 0.072
78480 142.274 0.069
78479 141.449 0.072
78478 140.944 0.071
78477 141.007 0.074
78476 140.881 0.071
78475 141.008 0.07
78474 141.116 0.07
78473 141.128 0.072
78472 141.03 0.077
78471 140.931 0.069
78470 140.898 0.071
78469 141.045 0.07
78468 140.933 0.068
78467 141.243 0.07
78466 140.926 0.069
78465 141.033 0.073
78464 140.982 0.079
78463 141.038 0.071
78462 140.956 0.068
78461 140.801 0.083
78460 140.812 0.069
78459 141.22 0.069
78458 140.849 0.072
78457 140.709 0.069
78456 140.998 0.07
78455 140.972 0.072
78454 187.749 0.076
78453 142.201 0.072
78452 191.514 0.073
78451 141.692 0.07
78450 141.477 0.073
78449 141.066 0.07
78448 140.815 0.068
78447 141.255 0.073
78446 177.351 0.075
78445 147.564 0.065
78444 140.985 0.068
78443 140.84 0.086
78442 140.749 0.071
78441 140.937 0.07
78440 151.655 0.068
78439 141.035 0.083
78438 140.821 0.07
78437 141.02 0.076
78436 140.794 0.072
78435 141.035 0.083
78434 140.721 0.07
78433 140.886 0.085
78432 140.809 0.073
78431 141.009 0.067
78430 140.961 0.069
78429 140.962 0.084
78428 140.854 0.069
78427 140.965 0.083
78426 196.715 0.097
78425 142.038 0.073
78424 163.705 0.06
78423 141.095 0.069
78422 140.861 0.069
78421 141.106 0.076
78420 141.145 0.07
78419 141.216 0.07
78418 140.96 0.067
78417 141.093 0.069
78416 140.701 0.071
78415 141.124 0.071
78414 140.791 0.075
78413 141.082 0.071
78412 140.651 0.066
78411 140.943 0.066
78410 141.031 0.07
78409 140.841 0.069
78408 141.035 0.069
78407 140.803 0.069
78406 151.772 0.066
78405 140.643 0.073
78404 140.787 0.07
78403 140.999 0.072
78402 140.625 0.069
78401 140.894 0.068
78400 141.24 0.072
78399 140.792 0.075
78398 369.142 0.068
78397 141.18 0.065
78396 140.81 0.072
78395 140.89 0.071
78394 147.212 0.069
78393 158.351 0.069
78392 140.976 0.069
78391 140.804 0.071
78390 140.691 0.071
78389 140.868 0.07
78388 140.566 0.082
78387 140.543 0.07
78386 140.997 0.072
78385 141.125 0.071
78384 140.846 0.07
78383 140.848 0.083
78382 140.877 0.071
78381 140.812 0.083
78380 140.71 0.07
78379 141.025 0.065
78378 140.626 0.069
78377 140.784 0.07
78376 151.09 0.072
78375 141.002 0.07
78374 140.858 0.069
78373 147.213 0.068
78372 140.512 0.083
