Erase_Index Worst_Case_Time(us) Best_Case_Time(us)
99712 258.3 0.086
99711 201.174 0.068
99710 206.145 0.073
99709 179.892 0.057
99708 243.414 0.085
99707 179.127 0.071
99706 178.544 0.071
99705 178.567 0.07
99704 185.826 0.074
99703 186.645 0.071
99702 178.72 0.072
99701 196.441 0.07
99700 179.04 0.068
99699 178.69 0.071
99698 178.838 0.069
99697 178.706 0.07
99696 178.869 0.066
99695 178.71 0.071
99694 179 0.071
99693 179.867 0.068
99692 178.806 0.07
99691 178.774 0.07
99690 178.771 0.071
99689 178.55 0.073
99688 178.9 0.073
99687 178.552 0.072
99686 185.144 0.074
99685 178.588 0.07
99684 178.596 0.071
99683 181.31 0.075
99682 185.124 0.07
99681 179.335 0.07
99680 178.494 0.071
99679 180.87 0.07
99678 178.505 0.071
99677 178.505 0.072
99676 178.627 0.071
99675 178.562 0.073
99674 204.729 0.087
99673 186.171 0.069
99672 210.203 0.105
99671 262.565 0.115
99670 248.958 0.094
99669 208.043 0.093
99668 197.39 0.075
99667 179.501 0.075
99666 178.64 0.071
99665 178.468 0.074
99664 178.493 0.075
99663 178.587 0.071
99662 178.829 0.073
99661 200.371 0.071
99660 188.591 0.083
99659 179.533 0.078
99658 178.986 0.078
99657 179.083 0.081
99656 178.993 0.068
99655 436.939 0.064
99654 194.901 0.071
99653 188.684 0.074
99652 204.684 0.069
99651 212.159 0.068
99650 190.267 0.07
99649 179.829 0.07
99648 179.337 0.066
99647 178.607 0.072
99646 179.814 0.072
99645 178.445 0.072
99644 178.553 0.069
99643 185.944 0.076
99642 182.621 0.072
99641 179.561 0.073
99640 261.719 0.07
99639 277.996 0.094
99638 280.497 0.07
99637 180.349 0.071
99636 179.294 0.07
99635 178.453 0.068
99634 178.566 0.069
99633 178.515 0.072
99632 178.601 0.07
99631 178.436 0.072
99630 184.738 0.073
99629 217.161 0.076
99628 194.079 0.066
99627 184.409 0.074
99626 178.887 0.078
99625 179.116 0.069
99624 179.805 0.075
99623 179.575 0.069
99622 179.486 0.066
99621 178.74 0.08
99620 178.837 0.065
99619 178.901 0.068
99618 178.793 0.068
99617 178.702 0.067
99616 178.747 0.067
99615 178.986 0.068
99614 178.892 0.067
99613 178.717 0.08
99612 178.655 0.069
99611 178.609 0.072
99610 178.758 0.07
99609 207.464 0.064
99608 310.742 0.13
99607 247.433 0.082
99606 212.885 0.066
99605 208.076 0.068
99604 179.472 0.08
99603 179.231 0.07
99602 179.505 0.073
99601 179.134 0.078
99600 179.17 0.084
99599 178.569 0.067
99598 178.715 0.069
99597 179.149 0.069
99596 178.647 0.072
99595 178.87 0.069
99594 178.713 0.065
99593 192.397 0.069
99592 202.374 0.073
99591 179.041 0.071
99590 185.016 0.065
99589 179.47 0.085
99588 179.631 0.07
99587 178.59 0.08
99586 179.417 0.064
99585 179.036 0.068
99584 178.954 0.078
99583 178.814 0.07
99582 178.77 0.072
99581 244.348 0.377
99580 242.416 0.097
99579 230.758 0.085
99578 192.449 0.069
99577 201.18 0.085
99576 179.023 0.084
99575 178.704 0.07
99574 178.539 0.068
99573 178.638 0.063
99572 178.621 0.068
99571 178.531 0.066
99570 196.739 0.064
99569 178.701 0.075
99568 178.756 0.078
99567 178.658 0.072
99566 179.118 0.066
99565 178.561 0.065
99564 178.611 0.069
99563 178.69 0.068
99562 178.667 0.077
99561 184.794 0.069
99560 178.566 0.067
99559 178.558 0.067
99558 178.413 0.071
99557 178.835 0.066
99556 179.277 0.068
99555 187.996 0.063
99554 179.176 0.073
99553 179.119 0.07
99552 188.986 0.075
99551 178.824 0.081
99550 179.867 0.072
99549 178.83 0.083
99548 274.842 0.207
99547 258.319 0.085
99546 233.837 0.115
99545 215.134 0.096
99544 223.881 0.09
99543 245.461 0.09
99542 179.007 0.09
99541 179.453 0.066
99540 179.708 0.07
99539 250.18 0.092
99538 220.793 0.071
99537 253.111 0.116
99536 246.798 0.147
99535 281.176 0.142
99534 249.468 0.171
99533 235.867 0.127
99532 253.737 0.184
99531 1288.14 0.239
99530 206.422 0.067
99529 249.404 0.082
99528 218.088 0.091
99527 258.503 0.093
99526 467.2 0.097
99525 261.787 0.119
99524 260.618 0.078
99523 247.833 0.107
99522 252.199 0.072
99521 273.392 0.13
99520 246.552 0.08
99519 270.24 0.131
99518 243.801 0.096
99517 247.854 0.114
99516 259.798 0.097
99515 255.107 0.075
99514 294.253 0.11
99513 249.941 0.071
99512 274.577 0.102
99511 276.495 0.287
99510 258.99 0.163
99509 214.565 0.073
99508 251.385 0.115
99507 200.921 0.099
99506 257.156 0.151
99505 220.014 0.07
99504 179.485 0.07
99503 282.942 0.088
99502 249.783 0.136
99501 263.835 0.074
99500 187.623 0.141
99499 292.692 0.167
99498 182.191 0.073
99497 191.663 0.087
99496 181.764 0.068
99495 179.276 0.073
99494 178.709 0.073
99493 178.362 0.075
99492 178.349 0.071
99491 230.683 0.066
99490 178.281 0.073
99489 178.354 0.073
99488 194.834 0.067
99487 178.418 0.066
99486 197.057 0.073
99485 178.467 0.069
99484 178.512 0.07
99483 178.886 0.071
99482 178.571 0.072
99481 178.522 0.069
99480 179.625 0.083
99479 178.558 0.068
99478 248.064 0.2
99477 300.077 0.1
99476 265.667 0.1
99475 179.83 0.043
99474 179.046 0.07
99473 194.351 0.067
99472 178.671 0.076
99471 233.463 0.113
99470 269.746 0.094
99469 262.571 0.113
99468 186.48 0.08
99467 181.185 0.086
99466 178.997 0.07
99465 179.831 0.07
99464 179.489 0.07
99463 178.126 0.068
99462 178.85 0.071
99461 178.324 0.07
99460 178.61 0.071
99459 266.176 0.091
99458 268.268 0.071
99457 342.338 0.096
99456 179.939 0.173
99455 179.75 0.072
99454 179.386 0.063
99453 178.244 0.071
99452 178.296 0.07
99451 178.205 0.073
99450 178.199 0.07
99449 178.235 0.073
99448 178.67 0.073
99447 178.11 0.072
99446 248.977 0.11
99445 187.002 0.075
99444 235.732 0.062
99443 179.313 0.069
99442 180.249 0.063
99441 179.394 0.052
99440 179.71 0.069
99439 178.689 0.069
99438 178.5 0.07
99437 177.976 0.071
99436 178.515 0.068
99435 178.046 0.071
99434 178.048 0.069
99433 178.168 0.066
99432 178.066 0.07
99431 178.074 0.069
99430 178.149 0.072
99429 184.415 0.069
99428 178.14 0.07
99427 178.096 0.07
99426 178.487 0.073
99425 180.52 0.068
99424 185.462 0.069
99423 178.449 0.071
99422 178.575 0.072
99421 178.4 0.069
99420 178.322 0.075
99419 178.144 0.072
99418 178.108 0.07
99417 178.053 0.071
99416 178.283 0.07
99415 178.296 0.069
99414 178.147 0.073
99413 178.266 0.069
99412 178.635 0.07
99411 178.125 0.07
99410 178.254 0.069
99409 178.151 0.071
99408 178.212 0.07
99407 178.194 0.072
99406 178.219 0.073
99405 178.085 0.073
99404 178.211 0.071
99403 245.24 0.222
99402 258.992 0.066
99401 203.164 0.083
99400 214.771 0.073
99399 252.569 0.071
99398 185.045 0.069
99397 178.4 0.07
99396 177.943 0.068
99395 184.378 0.072
99394 178.043 0.069
99393 177.963 0.072
99392 178.014 0.069
99391 177.963 0.071
99390 178.144 0.072
99389 177.958 0.07
99388 178.109 0.067
99387 178.238 0.072
99386 178.098 0.073
99385 177.993 0.069
99384 178.109 0.07
99383 178.169 0.069
99382 178.029 0.073
99381 178.006 0.073
99380 177.97 0.07
99379 178.012 0.071
99378 177.969 0.073
99377 178.492 0.058
99376 178.135 0.071
99375 178.632 0.07
99374 178.265 0.07
99373 178.064 0.072
99372 185.108 0.072
99371 178.014 0.068
99370 178.715 0.072
99369 178.116 0.073
99368 178.025 0.072
99367 178.131 0.072
99366 178.128 0.075
99365 178.074 0.071
99364 178.236 0.072
99363 178.003 0.071
99362 178.063 0.07
99361 177.94 0.068
99360 214.392 0.099
99359 295.71 0.196
99358 256.968 0.066
99357 283.448 0.061
99356 181.248 0.057
99355 179.598 0.068
99354 178.083 0.069
99353 177.89 0.071
99352 178.141 0.069
99351 178.111 0.072
99350 177.895 0.073
99349 178.021 0.071
99348 179.005 0.072
99347 178.059 0.069
99346 178.48 0.072
99345 190.301 0.073
99344 178.3 0.073
99343 178.124 0.072
99342 178.024 0.069
99341 178.359 0.071
99340 178.186 0.07
99339 178.282 0.07
99338 178.533 0.069
99337 178.052 0.072
99336 178.026 0.07
99335 178.157 0.072
99334 178.29 0.071
99333 178.844 0.071
99332 178.058 0.072
99331 178.149 0.071
99330 178.048 0.072
99329 177.992 0.07
99328 177.91 0.069
99327 194.825 0.068
99326 177.937 0.07
99325 178.083 0.07
99324 177.944 0.071
99323 177.931 0.072
99322 177.954 0.07
99321 177.945 0.07
99320 178.055 0.069
99319 178.247 0.07
99318 287.126 0.083
99317 238.261 0.08
99316 255.411 0.083
99315 269.008 0.075
99314 318.496 0.074
99313 272.209 0.084
99312 179.796 0.075
99311 178.661 0.073
99310 179.43 0.071
99309 178.506 0.073
99308 178.174 0.069
99307 178.075 0.073
